,date,open,high,low,close,volume,Name
0,2013-02,81.75,84.87,81.51,82.65,55369120,UPS
1,2013-03,82.55,85.925,82.28,85.9,69653913,UPS
2,2013-04,85.81,86.46,81.95,85.84,76196025,UPS
3,2013-05,85.82,89.96,84.65,85.9,80506614,UPS
4,2013-06,85.87,87.819,84.1999,86.48,64827376,UPS
5,2013-07,86.92,91.78,85.25,86.8,85484396,UPS
6,2013-08,87.37,88.69,85.18,85.58,55869672,UPS
7,2013-09,86.23,92.12,85.7,91.37,53470663,UPS
8,2013-10,91.43,98.99,88.45,98.24,73635304,UPS
9,2013-11,98.28,103.04,97.75,102.38,63279219,UPS
10,2013-12,102.14,105.37,100.65,105.08,59021713,UPS
11,2014-01,104.63,104.91,94.02,95.23,84598521,UPS
12,2014-02,95.1,97.91,93.19,95.77,67901994,UPS
13,2014-03,95.26,99.07,94.81,97.38,60638658,UPS
14,2014-04,97.74,99.85,95.45,98.5,66425832,UPS
15,2014-05,98.5,104.18,97.34,103.88,50198331,UPS
16,2014-06,104.13,104.3,100.52,102.66,50439045,UPS
17,2014-07,103.4,105.09,97.02,97.09,50715082,UPS
18,2014-08,96.67,99.16,94.87,97.33,59191121,UPS
19,2014-09,97.63,100.39,96.51,98.29,59225116,UPS
20,2014-10,98.44,105.84,94.05,104.91,83370559,UPS
21,2014-11,104.91,111.09,104.66,109.92,69901904,UPS
22,2014-12,110.3,113.1,106.47,111.17,72353628,UPS
23,2015-01,111.27,114.4,98.29,98.84,92920273,UPS
24,2015-02,99.0,102.82,98.34,101.73,56882260,UPS
25,2015-03,101.67,102.37,96.32,96.94,64640566,UPS
26,2015-04,96.49,101.98,94.88,100.53,73887682,UPS
27,2015-05,100.95,102.84,98.58,99.22,63586100,UPS
28,2015-06,99.77,101.68,96.81,96.91,60265986,UPS
29,2015-07,97.52,102.76,94.15,102.36,64612823,UPS
30,2015-08,102.49,104.065,93.64,97.65,74524224,UPS
31,2015-09,95.81,101.79,94.65,98.69,70596746,UPS
32,2015-10,99.0,107.32,96.96,103.02,65728675,UPS
33,2015-11,103.01,105.37,101.43,103.01,49055909,UPS
34,2015-12,103.46,104.5,95.82,96.23,75692006,UPS
35,2016-01,95.34,96.1,87.3,93.2,68562837,UPS
36,2016-02,92.04,99.5,92.04,96.55,76066027,UPS
37,2016-03,97.43,106.61399999999999,97.03,105.47,60882316,UPS
38,2016-04,104.92,107.21,103.41,105.07,48452544,UPS
39,2016-05,105.32,105.6,100.05,103.09,56002167,UPS
40,2016-06,103.08,107.74,101.95,107.72,59045065,UPS
41,2016-07,107.6,111.83,105.96,108.1,48793307,UPS
42,2016-08,108.14,111.03,106.92,109.22,46170341,UPS
43,2016-09,109.51,110.715,106.07,109.36,53193596,UPS
44,2016-10,109.36,109.61,105.87,107.76,43728058,UPS
45,2016-11,108.02,116.96,106.163,115.92,62746642,UPS
46,2016-12,116.04,120.44,114.36,114.64,52181796,UPS
47,2017-01,115.52,118.19,108.68,109.13,53084472,UPS
48,2017-02,107.79,109.34,103.23,105.76,83748298,UPS
49,2017-03,106.97,108.97,103.75,107.3,60386398,UPS
50,2017-04,107.66,109.3,103.56,107.46,55734492,UPS
51,2017-05,107.42,107.83,102.12,105.97,54361954,UPS
52,2017-06,106.49,111.5499,105.7,110.59,61258365,UPS
53,2017-07,110.9,113.76,106.98,110.29,51628122,UPS
54,2017-08,109.87,115.64200000000001,109.85,114.36,48018569,UPS
55,2017-09,114.72,120.42,113.54,120.09,43752187,UPS
56,2017-10,120.0,121.75,116.52,117.53,52920358,UPS
57,2017-11,117.94,122.0,111.3035,121.45,58556633,UPS
58,2017-12,121.89,125.16,116.33,119.15,57106860,UPS
59,2018-01,120.04,135.53,119.61,127.32,79526234,UPS
60,2018-02,119.22,121.0,109.68,111.91,50729965,UPS
