,date,open,high,low,close,volume,Name
0,2013-02,90.1,91.51,88.37,90.55,50556416,UTX
1,2013-03,90.26,94.0,88.49,93.43,62656009,UTX
2,2013-04,93.16,95.84,90.62,91.29,76994127,UTX
3,2013-05,91.04,98.18,90.92,94.9,69042194,UTX
4,2013-06,95.16,96.42,90.3,92.94,73617988,UTX
5,2013-07,93.31,106.55,93.12,105.57,70575399,UTX
6,2013-08,106.42,107.86,99.5,100.1,57602685,UTX
7,2013-09,101.1,112.46,101.09,107.82,59795417,UTX
8,2013-10,108.08,108.56,102.21,106.25,72650543,UTX
9,2013-11,106.45,111.9,106.02,110.86,48511954,UTX
10,2013-12,111.17,113.94,105.9,113.8,58094320,UTX
11,2014-01,112.9,118.2,111.57,114.02,74731357,UTX
12,2014-02,114.11,117.905,107.0,117.02,73697356,UTX
13,2014-03,115.6,118.42,112.32,116.84,73965610,UTX
14,2014-04,117.09,120.66,113.54,118.33,68601621,UTX
15,2014-05,118.03,119.19,112.6,116.22,59886460,UTX
16,2014-06,116.41,120.19,115.06,115.45,65233450,UTX
17,2014-07,115.97,116.47,105.1,105.15,103550604,UTX
18,2014-08,104.92,110.34,103.14,107.98,77643536,UTX
19,2014-09,108.26,110.0,104.25,105.6,72715093,UTX
20,2014-10,105.2,107.95,97.3,107.0,124793658,UTX
21,2014-11,107.42,112.26,106.03,110.08,77237909,UTX
22,2014-12,109.06,118.02,108.7,115.0,91372712,UTX
23,2015-01,115.14,120.95,110.23,114.78,97993059,UTX
24,2015-02,115.17,124.45,114.05,121.91,61095691,UTX
25,2015-03,121.83,123.5,115.02,117.2,90575397,UTX
26,2015-04,117.37,119.0,113.29,113.75,66243437,UTX
27,2015-05,114.59,119.66,114.27,117.17,61801963,UTX
28,2015-06,117.23,119.12,110.6198,110.93,80231329,UTX
29,2015-07,112.03,112.36,97.59,100.31,133149531,UTX
30,2015-08,100.31,100.31,87.17,91.61,123882058,UTX
31,2015-09,89.485,94.92,85.5,88.99,115620384,UTX
32,2015-10,88.9,100.9799,86.82,98.41,101543780,UTX
33,2015-11,98.82,101.04,95.94,96.05,82377579,UTX
34,2015-12,96.04,97.77,91.63,96.07,127287020,UTX
35,2016-01,94.45,96.0,83.39,87.69,140803232,UTX
36,2016-02,87.06,100.55,83.845,96.62,182992476,UTX
37,2016-03,92.22,101.0,92.07,100.1,103208995,UTX
38,2016-04,99.39,107.07,98.42,104.37,81475038,UTX
39,2016-05,103.89,104.9,97.94,100.58,75227396,UTX
40,2016-06,100.09,102.86,96.89,102.55,89865294,UTX
41,2016-07,102.48,108.49,99.31,107.65,72752513,UTX
42,2016-08,107.46,109.83,105.89,106.43,54489314,UTX
43,2016-09,106.74,107.72,99.85,101.6,79162734,UTX
44,2016-10,101.6,102.81,97.62,102.2,81372115,UTX
45,2016-11,102.41,110.0,100.72,107.72,68678897,UTX
46,2016-12,108.0,111.6864,107.07,109.62,65571434,UTX
47,2017-01,110.39,112.83,108.25,109.67,59380574,UTX
48,2017-02,109.63,113.19,106.85,112.55,57174413,UTX
49,2017-03,113.64,114.44,107.05,112.21,69753381,UTX
50,2017-04,112.28,119.61,111.24,118.99,58098637,UTX
51,2017-05,119.04,122.84,117.96,121.28,59812165,UTX
52,2017-06,121.2,123.09,119.08,122.11,58552534,UTX
53,2017-07,122.61,124.7899,117.85,118.57,48360786,UTX
54,2017-08,119.0,121.66,114.44,119.72,72325080,UTX
55,2017-09,119.74,120.16,109.1,116.08,101379268,UTX
56,2017-10,116.14,123.28,115.94,119.76,60613274,UTX
57,2017-11,120.55,121.75,116.3,121.45,55103980,UTX
58,2017-12,121.66,128.49,118.79,127.57,61954788,UTX
59,2018-01,127.9,139.24,127.17,138.01,91252193,UTX
60,2018-02,136.99,139.0,123.25,131.97,32377152,UTX
