,date,open,high,low,close,volume,Name
0,2013-02,36.6619,38.9864,35.7857,38.3952,51724689,VFC
1,2013-03,38.3929,40.1952,37.9476,39.9405,54010473,VFC
2,2013-04,39.9429,42.5976,39.1667,42.4333,50172255,VFC
3,2013-05,42.3714,44.7402,41.431000000000004,43.7762,44879946,VFC
4,2013-06,43.7595,46.4429,41.8452,45.9667,46904760,VFC
5,2013-07,46.1738,47.75,45.445,46.9048,43687095,VFC
6,2013-08,47.1714,48.1786,44.1952,44.5738,41322880,VFC
7,2013-09,44.9524,48.7964,44.818999999999996,47.3929,43045754,VFC
8,2013-10,47.5238,51.831,45.0762,51.1905,63738519,VFC
9,2013-11,51.1905,56.4717,51.1476,55.8524,43572281,VFC
10,2013-12,56.2357,62.4999,55.131,62.34,45555014,VFC
11,2014-01,63.02,63.45,57.48,58.45,46776384,VFC
12,2014-02,58.44,60.82,55.14,58.59,59387129,VFC
13,2014-03,57.9,63.21,57.88,61.88,44516274,VFC
14,2014-04,62.07,62.97,57.57,61.09,44822087,VFC
15,2014-05,61.1,63.99,60.18,63.02,28135712,VFC
16,2014-06,63.1,64.08,61.2787,63.0,28109892,VFC
17,2014-07,63.03,63.64,60.12,61.27,37343288,VFC
18,2014-08,60.59,64.866,59.82,64.12,26578684,VFC
19,2014-09,64.14,67.82,63.96,66.03,30925897,VFC
20,2014-10,66.08,68.29,61.75,67.68,43634307,VFC
21,2014-11,67.88,75.43,67.22,75.17,28815841,VFC
22,2014-12,74.32,75.99,71.27,74.9,29168642,VFC
23,2015-01,75.19,76.89,69.29,69.37,51384383,VFC
24,2015-02,68.32,77.83,67.85,76.66,64468732,VFC
25,2015-03,76.53,77.43,72.24,75.31,39206931,VFC
26,2015-04,75.38,76.18,72.2,72.43,27345397,VFC
27,2015-05,72.71,72.98,68.44,70.43,42436329,VFC
28,2015-06,70.65,71.73,68.12,69.74,40135765,VFC
29,2015-07,70.08,77.4,69.86,77.09,41542268,VFC
30,2015-08,76.44,77.36,67.18,72.43,36794355,VFC
31,2015-09,70.81,73.05,66.9,68.21,31083317,VFC
32,2015-10,68.38,73.81,61.56,67.52,63199368,VFC
33,2015-11,67.65,70.3497,61.17,64.7,45511013,VFC
34,2015-12,64.78,66.3,61.39,62.25,55312084,VFC
35,2016-01,60.69,62.75,52.21,62.6,68295967,VFC
36,2016-02,61.83,65.84,55.1,65.11,71052831,VFC
37,2016-03,65.48,67.1,63.74,64.76,50278195,VFC
38,2016-04,64.6,65.5,61.3,63.05,34462928,VFC
39,2016-05,62.49,66.31,59.4875,62.32,58644465,VFC
40,2016-06,61.99,65.2799,57.78,61.49,56318791,VFC
41,2016-07,61.71,65.25,60.4,62.43,45875054,VFC
42,2016-08,62.06,65.2,58.71,62.05,46055085,VFC
43,2016-09,61.34,61.58,55.195,56.05,72443894,VFC
44,2016-10,55.95,56.48,51.76,54.21,67541710,VFC
45,2016-11,54.28,58.35,52.67,54.51,59947544,VFC
46,2016-12,54.88,57.83,53.1,53.35,61686576,VFC
47,2017-01,53.63,54.23,49.65,51.48,75645716,VFC
48,2017-02,50.75,53.95,48.05,52.45,97654623,VFC
49,2017-03,52.68,56.27,52.18,54.97,91845297,VFC
50,2017-04,55.16,58.01,53.62,54.63,67660630,VFC
51,2017-05,54.61,55.7864,51.22,53.8,72845666,VFC
52,2017-06,53.96,58.18,53.27,57.6,57835504,VFC
53,2017-07,57.43,62.2,55.51,62.19,54169204,VFC
54,2017-08,63.28,64.25,60.01,62.87,47440298,VFC
55,2017-09,63.0,64.51,61.56,63.57,42428734,VFC
56,2017-10,63.54,71.95,62.83,69.65,57243693,VFC
57,2017-11,69.67,74.87,68.35,72.96,41768932,VFC
58,2017-12,72.95,75.25,70.34,74.0,43639555,VFC
59,2018-01,74.42,82.95,73.7,81.14,48893826,VFC
60,2018-02,80.37,81.73,76.42,80.47,18533391,VFC
