,date,open,high,low,close,volume,Name
0,2013-02,59.15,60.28,57.13,58.5,39139504,VIAB
1,2013-03,58.17,64.71,58.12,61.48,54333216,VIAB
2,2013-04,61.77,66.89,60.82,63.99,72345701,VIAB
3,2013-05,65.74,70.91,65.7,65.89,61782664,VIAB
4,2013-06,65.61,68.62,64.55,68.03,53738381,VIAB
5,2013-07,68.52,74.9,66.82,72.77,48325762,VIAB
6,2013-08,73.52,80.96,73.28,79.56,74871295,VIAB
7,2013-09,80.74,85.22,78.74,83.58,66690457,VIAB
8,2013-10,83.78,86.06,79.29,83.29,52656518,VIAB
9,2013-11,83.67,85.5,78.835,80.17,68454137,VIAB
10,2013-12,81.0,87.84,80.22,87.34,56668115,VIAB
11,2014-01,87.45,87.57,80.61,82.1,58224082,VIAB
12,2014-02,82.15,88.47,78.43,87.73,44635342,VIAB
13,2014-03,87.33,89.27,83.42,84.99,48992331,VIAB
14,2014-04,86.04,88.03,81.19,84.98,48126231,VIAB
15,2014-05,83.26,86.12,81.75,85.33,43293371,VIAB
16,2014-06,85.42,88.5,84.3,86.73,39139628,VIAB
17,2014-07,86.88,89.76,82.64,82.67,53415815,VIAB
18,2014-08,82.81,83.06,79.27,81.15,51051069,VIAB
19,2014-09,81.15,81.99,76.5224,76.94,56120198,VIAB
20,2014-10,76.67,76.79,65.86,72.68,71259447,VIAB
21,2014-11,72.67,75.78,68.6,75.63,72422362,VIAB
22,2014-12,75.36,78.0,72.14,75.25,72450396,VIAB
23,2015-01,75.83,76.29,64.2,64.42,82121586,VIAB
24,2015-02,64.47,71.27,63.11,69.94,71428122,VIAB
25,2015-03,70.0,71.99,66.8,68.3,69618755,VIAB
26,2015-04,67.69,73.52,65.8,69.45,64188558,VIAB
27,2015-05,69.77,70.71,63.98,66.88,58959670,VIAB
28,2015-06,67.35,69.17,64.13,64.64,66774917,VIAB
29,2015-07,64.92,65.47,55.55,57.0,62351899,VIAB
30,2015-08,57.14,57.15,36.32,40.77,158073137,VIAB
31,2015-09,39.99,46.76,39.81,43.15,143343022,VIAB
32,2015-10,43.56,50.71,42.15,49.31,96423558,VIAB
33,2015-11,49.34,53.345,43.48,49.79,94430227,VIAB
34,2015-12,49.99,50.18,39.015,41.16,93557484,VIAB
35,2016-01,40.6,45.83,38.73,45.64,82198979,VIAB
36,2016-02,45.33,47.47,30.11,36.85,122067486,VIAB
37,2016-03,37.24,42.31,36.48,41.28,60766739,VIAB
38,2016-04,40.75,45.17,34.4,40.9,122113883,VIAB
39,2016-05,40.77,44.83,37.945,44.37,60001220,VIAB
40,2016-06,44.09,46.29,38.555,41.47,99667710,VIAB
41,2016-07,41.32,46.69,40.25,45.47,59193871,VIAB
42,2016-08,45.5,45.64,40.1908,40.34,68515627,VIAB
43,2016-09,40.42,41.4,34.11,38.1,110266524,VIAB
44,2016-10,37.66,38.216,35.1,37.56,84163375,VIAB
45,2016-11,37.56,39.93,35.65,37.48,62039813,VIAB
46,2016-12,37.47,39.49,33.94,35.1,90708936,VIAB
47,2017-01,35.5,42.585,35.5,42.14,92017767,VIAB
48,2017-02,42.18,45.0,41.38,43.45,78244256,VIAB
49,2017-03,43.79,46.72,41.73,46.62,94513062,VIAB
50,2017-04,46.61,46.7,42.43,42.56,61298621,VIAB
51,2017-05,42.63,44.12,33.44,34.79,149514229,VIAB
52,2017-06,34.79,36.96,33.3,33.57,108635735,VIAB
53,2017-07,33.68,36.7701,32.68,34.92,91668107,VIAB
54,2017-08,35.04,35.55,27.86,28.6,131303936,VIAB
55,2017-09,28.8,28.86,26.65,27.84,89290684,VIAB
56,2017-10,27.92,28.39,23.45,24.03,141523424,VIAB
57,2017-11,24.27,28.94,22.13,28.32,147728441,VIAB
58,2017-12,28.23,32.56,27.92,30.81,96554781,VIAB
59,2018-01,30.51,35.5499,27.76,33.42,116377206,VIAB
60,2018-02,33.35,33.79,30.0,30.51,31026596,VIAB
