,date,open,high,low,close,volume,Name
0,2013-02,45.58,47.85,43.51,45.59,124589611,VLO
1,2013-03,45.31,48.97,42.51,45.49,225631729,VLO
2,2013-04,45.3,45.53,37.67,40.32,242461207,VLO
3,2013-05,39.97,42.6975,35.81,40.63,174918919,VLO
4,2013-06,40.68,40.86,33.2701,34.77,151967438,VLO
5,2013-07,34.58,36.33,33.0,35.77,178226253,VLO
6,2013-08,36.15,37.5,34.11,35.53,132128859,VLO
7,2013-09,36.12,37.28,33.7,34.15,124401504,VLO
8,2013-10,34.15,42.15,33.2,41.17,198607164,VLO
9,2013-11,41.34,46.37,39.01,45.72,157702153,VLO
10,2013-12,45.92,50.54,44.53,50.4,187462453,VLO
11,2014-01,50.14,53.64,48.6,51.1,179792729,VLO
12,2014-02,51.09,52.64,45.9,47.98,173128210,VLO
13,2014-03,48.03,55.96,47.8399,53.1,165045204,VLO
14,2014-04,53.59,58.97,50.61,57.17,147157528,VLO
15,2014-05,57.14,59.69,53.68,56.05,127796719,VLO
16,2014-06,56.37,58.13,50.031000000000006,50.1,182660213,VLO
17,2014-07,50.3,51.5,47.77,50.8,178114780,VLO
18,2014-08,50.72,54.61,49.37,54.14,107164772,VLO
19,2014-09,54.14,54.44,45.73,46.27,175089305,VLO
20,2014-10,46.39,50.165,42.53,50.09,182866901,VLO
21,2014-11,50.17,52.07,48.28,48.61,137411338,VLO
22,2014-12,48.2,52.1,45.35,49.5,169611899,VLO
23,2015-01,49.55,53.9,43.45,52.88,187361781,VLO
24,2015-02,53.4,62.91,52.92,61.69,152254519,VLO
25,2015-03,61.13,64.49,56.3,63.62,162551024,VLO
26,2015-04,63.97,64.28,56.09,56.9,149348876,VLO
27,2015-05,57.05,61.25,56.96,59.24,104975815,VLO
28,2015-06,59.21,63.17,56.76,62.6,124763729,VLO
29,2015-07,63.09,68.27,62.79,65.6,150765163,VLO
30,2015-08,65.55,71.5,51.68,59.34,159556605,VLO
31,2015-09,58.03,63.59,56.65,60.1,146488801,VLO
32,2015-10,60.26,66.5099,58.98,65.92,125781149,VLO
33,2015-11,65.78,73.88,65.46,71.86,96699551,VLO
34,2015-12,72.48,73.7,65.04,70.71,125347508,VLO
35,2016-01,70.38,72.49,62.16,67.87,155423522,VLO
36,2016-02,68.2,69.13,52.55,60.08,144702628,VLO
37,2016-03,60.17,66.89,59.16,64.14,115302092,VLO
38,2016-04,63.59,64.06,58.1,58.87,112230897,VLO
39,2016-05,58.96,60.1,53.51,54.7,117473139,VLO
40,2016-06,54.46,56.73,49.91,51.0,141961117,VLO
41,2016-07,50.79,53.67,46.88,52.28,144537370,VLO
42,2016-08,52.13,56.0,51.39,55.35,137286809,VLO
43,2016-09,55.37,58.08,51.1702,53.0,126561223,VLO
44,2016-10,53.04,60.36,52.51,59.24,116046278,VLO
45,2016-11,60.37,66.17,57.4,61.56,117069938,VLO
46,2016-12,61.5,69.85,60.41,68.32,98862971,VLO
47,2017-01,69.55,71.4,64.45,65.76,100935660,VLO
48,2017-02,66.53,69.41,64.62,67.95,82319099,VLO
49,2017-03,68.51,69.84,65.42,66.29,106379918,VLO
50,2017-04,66.59,67.69,63.26,64.61,81181294,VLO
51,2017-05,64.82,67.16,60.69,61.47,86102714,VLO
52,2017-06,61.37,68.39,61.07,67.46,96808452,VLO
53,2017-07,67.81,69.44,65.95,68.97,72156925,VLO
54,2017-08,68.61,69.79,64.2201,68.1,80628773,VLO
55,2017-09,68.11,77.7714,67.24,76.93,80911226,VLO
56,2017-10,76.73,79.135,75.8375,78.89,76408971,VLO
57,2017-11,79.32,85.86,79.07,85.62,69295345,VLO
58,2017-12,85.37,93.18,82.52,91.91,62449486,VLO
59,2018-01,92.19,99.95,91.71,95.97,62744165,VLO
60,2018-02,96.42,96.87,82.9,89.84,27441443,VLO
