,date,open,high,low,close,volume,Name
0,2013-02,55.51,56.65,49.35,50.93,11614636,VMC
1,2013-03,50.55,55.37,49.95,51.7,9876082,VMC
2,2013-04,51.7,51.7,45.42,49.88,15888212,VMC
3,2013-05,49.58,55.74,48.0,53.58,14026560,VMC
4,2013-06,53.77,54.71,47.66,48.41,12101024,VMC
5,2013-07,48.86,50.989,46.21,47.18,11883689,VMC
6,2013-08,47.95,50.78,46.78,47.8,15033093,VMC
7,2013-09,48.39,54.37,48.0,51.81,12401834,VMC
8,2013-10,51.88,55.0,50.32,53.55,11263994,VMC
9,2013-11,53.7,60.14,52.76,56.37,16888816,VMC
10,2013-12,56.56,59.7,53.55,59.42,12803846,VMC
11,2014-01,59.34,63.05,57.55,61.73,24201913,VMC
12,2014-02,61.68,68.59,58.68,67.93,19753229,VMC
13,2014-03,67.54,69.5,63.83,66.45,15982154,VMC
14,2014-04,66.87,68.29,61.38,64.53,21761919,VMC
15,2014-05,64.56,66.14,58.88,60.97,21844114,VMC
16,2014-06,60.93,66.17,60.47,63.75,14811926,VMC
17,2014-07,64.24,66.55,62.82,63.13,16584864,VMC
18,2014-08,63.41,64.26,60.78,63.38,17803217,VMC
19,2014-09,63.64,64.15,60.2,60.23,17822794,VMC
20,2014-10,60.31,65.9,54.1,61.71,32669089,VMC
21,2014-11,61.64,69.1,61.22,66.1,22612912,VMC
22,2014-12,65.98,67.71,61.45,65.73,21054913,VMC
23,2015-01,66.39,71.75,64.28,70.51,21387364,VMC
24,2015-02,71.17,83.49,70.1,83.0,25665377,VMC
25,2015-03,83.52,86.25,82.27,84.3,23794806,VMC
26,2015-04,84.36,86.23,80.58,85.52,20141724,VMC
27,2015-05,86.12,93.07,84.72,89.93,21348292,VMC
28,2015-06,90.0,90.75,83.91,83.93,16493203,VMC
29,2015-07,84.74,95.23,84.1,91.02,19428100,VMC
30,2015-08,91.07,99.41,85.11,93.62,28891300,VMC
31,2015-09,91.2,102.65,84.37,89.2,30538485,VMC
32,2015-10,89.57,97.99,87.4,96.58,29130974,VMC
33,2015-11,96.58,106.835,90.41,102.67,24449293,VMC
34,2015-12,103.09,104.75,92.86,94.97,22550136,VMC
35,2016-01,93.5,93.5,78.83,88.2,26175720,VMC
36,2016-02,87.54,99.7,85.2,98.53,28845424,VMC
37,2016-03,99.76,106.78,98.28,105.57,20948427,VMC
38,2016-04,105.25,111.145,104.605,107.63,18092721,VMC
39,2016-05,108.26,120.4,107.56,116.75,21936841,VMC
40,2016-06,116.01,121.22,112.16,120.36,19690595,VMC
41,2016-07,120.57,127.2,118.37,123.98,16731796,VMC
42,2016-08,121.11,122.47,113.43,113.87,26242781,VMC
43,2016-09,113.32,119.32,106.42,113.73,29204676,VMC
44,2016-10,113.32,114.55,105.71,113.2,24136355,VMC
45,2016-11,113.8,138.18,111.06,125.65,40703124,VMC
46,2016-12,125.87,130.75,121.84,125.15,21419968,VMC
47,2017-01,126.04,136.82,120.791,128.33,21009699,VMC
48,2017-02,128.97,130.15,114.1,120.61,35736042,VMC
49,2017-03,123.17,125.3,108.95,120.48,36392441,VMC
50,2017-04,120.13,124.29,116.26,120.88,21506026,VMC
51,2017-05,121.26,133.79,120.93,124.65,27778452,VMC
52,2017-06,125.1,134.92,124.4,126.68,21396325,VMC
53,2017-07,127.23,130.1175,121.895,123.12,19978585,VMC
54,2017-08,120.33,124.25,111.77,121.26,34127141,VMC
55,2017-09,121.92,121.92,112.83,119.6,23636008,VMC
56,2017-10,119.58,123.94,115.01,121.75,21850960,VMC
57,2017-11,122.55,128.77,118.59,125.65,24462065,VMC
58,2017-12,125.73,129.63,117.74,128.37,25616563,VMC
59,2018-01,129.75,141.2,128.96,135.4,29467404,VMC
60,2018-02,134.61,136.94,122.74,128.24,9642135,VMC
