,date,open,high,low,close,volume,Name
0,2013-02,83.52,85.94,80.21,80.21,15772964,VNO
1,2013-03,79.84,84.87,79.43,83.64,22873540,VNO
2,2013-04,83.56,87.99,83.4675,87.56,18549807,VNO
3,2013-05,86.94,88.73,79.95,79.95,22590886,VNO
4,2013-06,79.95,84.48,76.19,82.85,23697789,VNO
5,2013-07,83.19,89.35,82.24,84.81,19488394,VNO
6,2013-08,85.36,85.58,79.56,81.3,20870320,VNO
7,2013-09,82.07,89.23,80.08,84.06,16300815,VNO
8,2013-10,84.23,91.2,82.73,89.06,17136663,VNO
9,2013-11,89.66,91.91,86.2,87.93,14139868,VNO
10,2013-12,87.75,91.11,86.83,88.79,18221307,VNO
11,2014-01,89.16,93.85,87.82,91.83,17378800,VNO
12,2014-02,91.92,96.98,89.85,96.29,17790891,VNO
13,2014-03,95.73,100.02,95.52,98.56,22550150,VNO
14,2014-04,98.62,102.63,96.93,102.6,17764871,VNO
15,2014-05,102.64,107.39,101.85,107.08,14465254,VNO
16,2014-06,107.29,109.01,103.76,106.73,17324560,VNO
17,2014-07,106.53,109.12,105.19,106.02,14100917,VNO
18,2014-08,105.18,107.38,103.6,105.87,16082008,VNO
19,2014-09,106.0,108.1,99.2557,99.96,17048774,VNO
20,2014-10,99.78,109.64,98.27,109.48,22356257,VNO
21,2014-11,109.34,112.5,107.21,111.56,17333816,VNO
22,2014-12,111.36,120.23,110.91,117.71,17618165,VNO
23,2015-01,118.36,126.62,110.37,110.44,17425232,VNO
24,2015-02,110.5,114.15,108.87,110.04,15679398,VNO
25,2015-03,110.33,114.02,104.11,112.0,20361857,VNO
26,2015-04,111.95,113.12,102.87,103.49,12601649,VNO
27,2015-05,104.2,105.5,98.5,99.89,13814930,VNO
28,2015-06,100.0,101.58,94.55,94.93,18797710,VNO
29,2015-07,93.94,98.96,93.42,97.55,16020589,VNO
30,2015-08,97.58,98.12799999999999,84.73,87.19,18018403,VNO
31,2015-09,85.8,93.61,84.6,90.42,17307411,VNO
32,2015-10,90.85,100.87,89.32,100.55,16644442,VNO
33,2015-11,100.56,103.41,93.06,96.76,14157718,VNO
34,2015-12,97.41,101.9,95.71,99.96,16187364,VNO
35,2016-01,98.9,99.97,85.96,88.46,20074943,VNO
36,2016-02,87.51,89.7,78.91,86.36,28389606,VNO
37,2016-03,86.93,95.0699,86.75,94.43,15285687,VNO
38,2016-04,93.94,97.545,92.945,95.73,14206299,VNO
39,2016-05,96.1,98.0,90.13,95.52,19172154,VNO
40,2016-06,94.91,100.13,94.53,100.12,21540404,VNO
41,2016-07,100.5,107.62,97.42,107.4,19270444,VNO
42,2016-08,107.12,108.69,100.23,103.31,15450586,VNO
43,2016-09,103.43,105.01,97.18,101.21,17351327,VNO
44,2016-10,100.8,100.81,90.82,92.78,16213104,VNO
45,2016-11,92.76,99.76,86.35,97.75,26284512,VNO
46,2016-12,97.79,105.91,96.96,104.37,20564702,VNO
47,2017-01,105.33,108.235,103.48,106.31,17322491,VNO
48,2017-02,106.45,111.72,103.68,109.87,14595434,VNO
49,2017-03,109.84,110.13,98.51,100.31,21654883,VNO
50,2017-04,100.35,103.35,95.57,96.24,18080011,VNO
51,2017-05,96.63,96.64,91.32,92.2,23586146,VNO
52,2017-06,91.93,95.77,91.18,93.9,20164330,VNO
53,2017-07,94.5,97.25,77.25,79.35,23488298,VNO
54,2017-08,79.8,80.92,73.02,74.49,23908794,VNO
55,2017-09,74.52,77.57,72.77,76.88,24455894,VNO
56,2017-10,77.0,80.3,71.895,74.86,22797100,VNO
57,2017-11,74.89,77.84,72.76,77.62,19501920,VNO
58,2017-12,77.78,79.56,75.27,78.18,23485980,VNO
59,2018-01,78.31,78.31,70.01,71.68,21389660,VNO
60,2018-02,71.71,71.88,66.0101,67.3,10335765,VNO
