,date,open,high,low,close,volume,Name
0,2013-02,54.65,60.29,53.5,58.47,9504433,VRSK
1,2013-03,58.18,61.85,57.97,61.62,14481488,VRSK
2,2013-04,61.1,61.88,58.42,61.29,15043713,VRSK
3,2013-05,56.4,62.39,54.68,58.82,19219238,VRSK
4,2013-06,58.82,60.42,57.19,59.7,12107875,VRSK
5,2013-07,59.95,65.59,59.95,64.36,13278097,VRSK
6,2013-08,64.43,65.06,61.0,62.18,11684654,VRSK
7,2013-09,62.79,66.77,62.4,64.96,13036475,VRSK
8,2013-10,65.04,69.09,63.285,68.52,14392092,VRSK
9,2013-11,68.79,68.79,60.16,65.11,21286614,VRSK
10,2013-12,64.82,67.34,64.04,65.72,14756314,VRSK
11,2014-01,65.27,65.57,62.31,63.86,17313396,VRSK
12,2014-02,63.79,67.48,61.8,63.715,16936154,VRSK
13,2014-03,63.41,64.61,59.54,59.96,21066415,VRSK
14,2014-04,59.97,61.24,56.37,60.09,21330906,VRSK
15,2014-05,59.96,61.68,59.1,59.19,13645006,VRSK
16,2014-06,59.31,62.96,58.75,60.02,14611058,VRSK
17,2014-07,60.05,63.4,59.9,60.04,14592420,VRSK
18,2014-08,59.96,64.5,58.8,64.19,15738074,VRSK
19,2014-09,64.09,65.0,60.63,60.89,9923384,VRSK
20,2014-10,60.68,63.43,57.97,62.35,15531543,VRSK
21,2014-11,62.52,64.43,61.6,61.98,9015056,VRSK
22,2014-12,61.98,65.63,61.7,64.05,15834836,VRSK
23,2015-01,64.08,65.34,62.28,64.35,13828674,VRSK
24,2015-02,64.41,74.75,63.79,71.81,16546581,VRSK
25,2015-03,71.81,72.275,68.5,71.4,22164267,VRSK
26,2015-04,71.41,78.09,70.99,75.04,17809444,VRSK
27,2015-05,75.49,76.8,70.2,72.58,35554047,VRSK
28,2015-06,72.55,75.7,72.32,72.76,19714540,VRSK
29,2015-07,73.12,79.88,71.88,78.11,19244540,VRSK
30,2015-08,77.56,78.48,68.87,73.08,17019095,VRSK
31,2015-09,71.59,75.48,71.02,73.91,14873279,VRSK
32,2015-10,78.01,82.0,69.69,71.61,73988238,VRSK
33,2015-11,71.51,75.53,68.145,74.95,27141621,VRSK
34,2015-12,75.32,79.04,73.84,76.88,24580175,VRSK
35,2016-01,75.36,75.58,69.1,73.0,23814970,VRSK
36,2016-02,72.33,74.55,64.79,72.84,30745823,VRSK
37,2016-03,73.23,80.44,72.7,79.92,15900615,VRSK
38,2016-04,79.64,81.59,76.7611,77.58,11810711,VRSK
39,2016-05,77.68,79.62,75.76,79.39,13152399,VRSK
40,2016-06,79.06,81.09,75.72,81.08,15813461,VRSK
41,2016-07,81.08,86.0,80.58,85.28,10049714,VRSK
42,2016-08,85.15,85.45,78.27,83.05,15335355,VRSK
43,2016-09,83.27,84.22,80.15,81.28,16098763,VRSK
44,2016-10,80.93,82.585,78.604,81.55,15175790,VRSK
45,2016-11,81.68,84.85,80.67,83.08,23100031,VRSK
46,2016-12,83.23,83.95,80.9,81.17,15763229,VRSK
47,2017-01,81.59,83.02,80.1965,82.64,10222904,VRSK
48,2017-02,82.63,87.4,81.31,82.92,13594994,VRSK
49,2017-03,83.55,84.49,79.09,81.14,21616078,VRSK
50,2017-04,81.06,83.69,78.69,82.81,13355956,VRSK
51,2017-05,83.0,83.3955,75.6,80.89,26219923,VRSK
52,2017-06,81.05,84.68,79.86,84.37,19830532,VRSK
53,2017-07,84.87,88.0,82.94,87.26,13997046,VRSK
54,2017-08,85.475,88.17,78.97,81.05,19224333,VRSK
55,2017-09,81.38,83.84,80.32,83.19,14613946,VRSK
56,2017-10,83.4,85.42,83.01,85.05,13520509,VRSK
57,2017-11,86.0,96.915,86.0,96.42,21255673,VRSK
58,2017-12,98.05,98.6,93.73,96.0,17326196,VRSK
59,2018-01,96.48,100.54,95.26,100.05,17556580,VRSK
60,2018-02,99.23,100.34,92.40100000000001,94.69,6130955,VRSK
