,date,open,high,low,close,volume,Name
0,2013-02,45.09,46.7,43.94,45.81,33067206,VRSN
1,2013-03,45.97,47.5,44.95,47.27,40467165,VRSN
2,2013-04,47.24,47.73,43.305,46.07,46275036,VRSN
3,2013-05,46.11,49.6199,46.03,47.04,29531628,VRSN
4,2013-06,47.14,47.175,43.28,44.66,35286625,VRSN
5,2013-07,45.01,48.84,44.38,47.84,28800208,VRSN
6,2013-08,48.01,50.108999999999995,47.87,47.99,29713824,VRSN
7,2013-09,48.54,52.13,48.17,50.89,25268907,VRSN
8,2013-10,50.67,55.0,49.16,54.28,26166531,VRSN
9,2013-11,54.38,57.3,53.23,56.86,19891806,VRSN
10,2013-12,57.06,59.89,55.72,59.78,27980631,VRSN
11,2014-01,59.74,62.96,58.47,58.75,32430475,VRSN
12,2014-02,58.4,58.73,50.49,55.11,50147513,VRSN
13,2014-03,54.71,56.66,48.5501,53.91,38430875,VRSN
14,2014-04,54.08,54.47,46.45,47.18,39983248,VRSN
15,2014-05,47.32,50.59,46.54,50.08,27237644,VRSN
16,2014-06,50.07,51.95,48.35,48.81,23097570,VRSN
17,2014-07,48.8,56.33,48.5,54.05,30496158,VRSN
18,2014-08,54.41,57.43,52.745,57.075,21123927,VRSN
19,2014-09,57.38,57.57,54.805,55.12,26848104,VRSN
20,2014-10,55.01,59.85,52.1,59.76,22735944,VRSN
21,2014-11,59.67,61.25,58.19,60.1,17382821,VRSN
22,2014-12,59.67,60.03,55.42,57.0,20775446,VRSN
23,2015-01,57.23,57.92,53.7,54.48,19646855,VRSN
24,2015-02,54.47,64.95,53.48,64.02,25850771,VRSN
25,2015-03,64.04,67.5,62.61,66.97,20211892,VRSN
26,2015-04,66.69,68.25,62.62,63.51,25422831,VRSN
27,2015-05,63.9,64.89,62.675,63.19,19098749,VRSN
28,2015-06,63.62,64.88,61.31,61.72,17674156,VRSN
29,2015-07,62.39,71.73,61.42,70.94,21320835,VRSN
30,2015-08,70.61,71.82,64.0,68.94,21977581,VRSN
31,2015-09,67.84,71.29,66.25,70.56,16154825,VRSN
32,2015-10,70.76,81.49,70.21,80.6,25125804,VRSN
33,2015-11,80.86,91.22,80.04,89.44,24098494,VRSN
34,2015-12,89.44,93.94,85.98,87.36,23202188,VRSN
35,2016-01,85.69,86.15,72.54,75.6,23010654,VRSN
36,2016-02,75.03,86.29799999999999,70.26,84.49,25116402,VRSN
37,2016-03,85.08,90.61,84.65,88.54,19480596,VRSN
38,2016-04,88.19,91.99,86.17,86.4,18742044,VRSN
39,2016-05,86.49,88.37,82.06,85.46,15424669,VRSN
40,2016-06,85.0,87.78,80.47,86.46,13492414,VRSN
41,2016-07,86.44,87.19,82.4,86.61,17771999,VRSN
42,2016-08,86.35,86.6,74.01,74.45,27263703,VRSN
43,2016-09,74.36,82.88,74.31,78.24,29613601,VRSN
44,2016-10,78.52,86.98100000000001,74.46,84.02,20708691,VRSN
45,2016-11,84.0,84.94,77.98,78.85,15732241,VRSN
46,2016-12,78.45,82.5,75.71,76.07,16995943,VRSN
47,2017-01,76.49,82.0,76.45,80.21,13077139,VRSN
48,2017-02,80.09,85.52,79.21,82.47,22644736,VRSN
49,2017-03,83.25,88.08,82.5625,87.11,18924551,VRSN
50,2017-04,87.49,91.8,87.01,88.92,15409045,VRSN
51,2017-05,89.2,91.2,87.545,90.16,17849778,VRSN
52,2017-06,90.55,94.93,90.39,92.96,16440256,VRSN
53,2017-07,93.5,103.79,92.905,101.17,16984189,VRSN
54,2017-08,101.0,103.9101,97.15,103.75,14316483,VRSN
55,2017-09,104.18,106.81,102.06,106.39,12255462,VRSN
56,2017-10,106.76,110.82,106.17,107.52,18985632,VRSN
57,2017-11,108.14,118.28,107.6,115.1,20628414,VRSN
58,2017-12,115.36,117.13,111.61,114.44,15528689,VRSN
59,2018-01,114.69,116.635,108.55,114.92,15916134,VRSN
60,2018-02,114.21,116.34,106.09100000000001,109.11,4897851,VRSN
