,date,open,high,low,close,volume,Name
0,2013-02,45.84,48.15,43.6912,46.82,20606832,VRTX
1,2013-03,46.55,55.93,45.52,54.97,34672086,VRTX
2,2013-04,55.0,87.47,51.28,76.82,79410830,VRTX
3,2013-05,77.35,83.94,74.6101,80.33,45840360,VRTX
4,2013-06,80.83,84.84,73.4,80.06,35399143,VRTX
5,2013-07,81.44,89.96,78.815,79.8,34867275,VRTX
6,2013-08,80.59,81.98,74.67,75.15,26595246,VRTX
7,2013-09,76.2,82.74,73.43,75.82,77541904,VRTX
8,2013-10,76.02,78.38,68.71,71.35,42153618,VRTX
9,2013-11,70.16,70.69,58.06,69.42,46244826,VRTX
10,2013-12,69.6,74.7,63.65,74.3,31295358,VRTX
11,2014-01,74.07,87.77,72.88,79.04,35810006,VRTX
12,2014-02,78.5,86.12,75.89,80.86,30413707,VRTX
13,2014-03,80.25,83.82,67.49,70.72,30495531,VRTX
14,2014-04,71.32,73.12,59.79,67.7,34943867,VRTX
15,2014-05,67.54,73.48,62.405,72.26,30454627,VRTX
16,2014-06,72.16,98.8,63.68,94.68,68292711,VRTX
17,2014-07,93.87,99.74,88.11,88.91,39273081,VRTX
18,2014-08,89.6,94.5,84.41,93.57,24752183,VRTX
19,2014-09,94.29,116.88,90.99,112.31,41436771,VRTX
20,2014-10,112.88,115.24,96.43,112.64,40746828,VRTX
21,2014-11,112.64,120.91,109.34,117.88,25025183,VRTX
22,2014-12,117.89,124.35,108.7,118.8,37264866,VRTX
23,2015-01,119.97,127.69,110.0,110.14,33230461,VRTX
24,2015-02,110.31,121.5,103.75,119.43,27548352,VRTX
25,2015-03,120.62,136.33,116.61,117.97,44385002,VRTX
26,2015-04,117.59,137.5,113.68,123.28,31212270,VRTX
27,2015-05,123.92,131.42,121.0166,128.29,31623489,VRTX
28,2015-06,128.48,132.98,121.39,123.48,28043377,VRTX
29,2015-07,124.11,136.36,120.88,135.0,39055315,VRTX
30,2015-08,134.88,143.45,112.89,127.52,37027145,VRTX
31,2015-09,124.07,136.97,97.45,104.14,46549865,VRTX
32,2015-10,103.2,129.13,101.4875,124.74,50968759,VRTX
33,2015-11,123.6,134.71,116.78,129.36,28395123,VRTX
34,2015-12,131.0,132.81,113.73,125.83,33724223,VRTX
35,2016-01,123.03,124.96,81.98,90.75,61251111,VRTX
36,2016-02,91.92,96.35,78.51,85.49,53850229,VRTX
37,2016-03,86.13,93.42,75.9,79.49,47904592,VRTX
38,2016-04,79.02,91.78,75.92,84.34,50668496,VRTX
39,2016-05,84.24,93.6,80.25,93.15,36687900,VRTX
40,2016-06,92.9,96.49,79.59,86.02,34504473,VRTX
41,2016-07,85.67,98.5,85.17,97.0,28003607,VRTX
42,2016-08,97.31,103.73,94.01,94.51,25455711,VRTX
43,2016-09,95.03,98.05,83.5,87.21,33941896,VRTX
44,2016-10,86.46,88.24,74.95,75.86,40009954,VRTX
45,2016-11,75.09,97.93,73.305,81.61,43615982,VRTX
46,2016-12,81.85,82.53,71.46,73.67,42198698,VRTX
47,2017-01,74.43,87.91,73.34,85.87,39586477,VRTX
48,2017-02,85.98,91.95,84.33,90.62,28673630,VRTX
49,2017-03,91.8,111.88,88.87,109.35,48250173,VRTX
50,2017-04,109.01,120.5,107.24,118.3,37235517,VRTX
51,2017-05,118.98,123.78,113.66,123.6,36570027,VRTX
52,2017-06,124.0,137.26,120.77,128.87,43879261,VRTX
53,2017-07,129.49,167.855,125.5,151.82,56442221,VRTX
54,2017-08,153.03,160.85,147.18,160.54,28451111,VRTX
55,2017-09,160.76,163.64,147.3,152.04,30606675,VRTX
56,2017-10,151.23,158.04,139.05,146.23,36534681,VRTX
57,2017-11,147.35,152.0,142.01,144.29,27873793,VRTX
58,2017-12,143.09,152.7,136.5,149.86,30515793,VRTX
59,2018-01,150.0,171.26,147.72,166.87,36743565,VRTX
60,2018-02,174.11,174.955,151.35,155.67,16379508,VRTX
