,date,open,high,low,close,volume,Name
0,2013-02,66.78,71.13,66.6,70.78,22272485,VTR
1,2013-03,70.28,73.22,69.69,73.2,26857010,VTR
2,2013-04,73.2,79.64,72.84,79.63,30611357,VTR
3,2013-05,79.67,84.10799999999999,71.32,71.37,41841707,VTR
4,2013-06,71.26,71.985,63.82,69.46,40384123,VTR
5,2013-07,70.06,72.32,65.3,65.74,30622394,VTR
6,2013-08,66.03,66.17,58.53,62.26,39403823,VTR
7,2013-09,62.94,66.07,60.35,61.5,32825571,VTR
8,2013-10,61.24,67.64,61.11,65.24,30725700,VTR
9,2013-11,65.37,65.96,56.82,56.83,26214139,VTR
10,2013-12,56.82,58.34,54.89,57.28,39908717,VTR
11,2014-01,56.95,62.7,56.43,62.39,42470030,VTR
12,2014-02,62.46,63.1,60.42,62.43,32593776,VTR
13,2014-03,62.01,63.74,58.4,60.57,28855396,VTR
14,2014-04,60.62,66.3,60.38,66.08,35652774,VTR
15,2014-05,65.99,69.09,65.73,66.8,34519113,VTR
16,2014-06,64.42,65.91,62.13,64.1,50471485,VTR
17,2014-07,64.15,65.17,63.08,63.5,41910122,VTR
18,2014-08,63.7,66.29,62.44,65.78,31959657,VTR
19,2014-09,65.81,66.32,60.63,61.95,51963451,VTR
20,2014-10,62.0,68.96,61.9,68.51,65637551,VTR
21,2014-11,68.37,72.17,67.61,71.55,34868051,VTR
22,2014-12,71.36,75.16,70.41,71.7,55504242,VTR
23,2015-01,71.89,81.93,71.89,79.81,67628554,VTR
24,2015-02,79.67,80.01,73.16,74.47,58540329,VTR
25,2015-03,74.54,75.81,69.015,73.02,63244009,VTR
26,2015-04,73.11,77.355,68.53,68.9,44648980,VTR
27,2015-05,68.87,70.41,66.16,66.52,43290555,VTR
28,2015-06,66.59,67.46,61.62,62.09,54349518,VTR
29,2015-07,62.24,67.72,61.8,67.09,51892483,VTR
30,2015-08,67.0,68.73,54.9,55.02,66967737,VTR
31,2015-09,54.44,57.38,52.03,56.06,58596864,VTR
32,2015-10,56.31,58.73,53.6,53.72,55619159,VTR
33,2015-11,53.76,54.5,49.31,53.34,58407513,VTR
34,2015-12,53.68,56.945,51.79,56.43,55896981,VTR
35,2016-01,56.0,58.03,51.51,55.32,55988538,VTR
36,2016-02,54.86,56.69,46.87,55.67,62225739,VTR
37,2016-03,56.47,63.63,55.91,62.96,78577988,VTR
38,2016-04,62.73,64.36,59.43,62.12,42668844,VTR
39,2016-05,62.46,67.52,62.2,66.33,42086250,VTR
40,2016-06,66.22,72.884,65.13,72.82,48466688,VTR
41,2016-07,73.0,76.8,70.8,76.16,43620586,VTR
42,2016-08,75.85,76.57,71.4538,72.67,39431066,VTR
43,2016-09,72.81,74.48,66.69,70.63,56331377,VTR
44,2016-10,70.17,70.3951,65.8,67.75,36321242,VTR
45,2016-11,67.58,67.58,56.2,60.42,59308966,VTR
46,2016-12,59.86,63.9,57.97,62.52,47597151,VTR
47,2017-01,62.29,63.7,60.5,61.67,35624583,VTR
48,2017-02,61.61,65.89,60.6,65.05,34022659,VTR
49,2017-03,64.62,65.11,58.96,65.04,53216394,VTR
50,2017-04,65.07,66.95,62.83,64.01,34619628,VTR
51,2017-05,64.23,68.0,61.49,66.49,40105507,VTR
52,2017-06,66.55,72.36,65.775,69.48,40536711,VTR
53,2017-07,69.67,70.18,66.42,67.35,26497658,VTR
54,2017-08,66.39,68.64,64.39,68.44,31902225,VTR
55,2017-09,68.47,69.92,64.47,65.13,28653402,VTR
56,2017-10,65.27,65.42,60.82,62.75,39474251,VTR
57,2017-11,62.86,65.72,62.57,64.01,29583461,VTR
58,2017-12,64.21,64.965,59.61,60.01,36133631,VTR
59,2018-01,60.08,60.49,53.75,55.97,58230393,VTR
60,2018-02,55.93,56.19,51.8,52.97,15702616,VTR
