,date,open,high,low,close,volume,Name
0,2013-02,44.51,46.93,44.11,46.53,192041419,VZ
1,2013-03,46.22,49.59,46.11,49.15,250897177,VZ
2,2013-04,49.06,54.31,48.66,53.91,333590504,VZ
3,2013-05,53.77,53.97,48.4725,48.48,234138085,VZ
4,2013-06,48.43,51.685,47.77,50.34,297054872,VZ
5,2013-07,50.29,51.94,49.19,49.48,204016035,VZ
6,2013-08,50.05,50.44,46.25,47.38,203931114,VZ
7,2013-09,45.52,48.89,45.08,46.675,322660463,VZ
8,2013-10,46.62,51.49,46.03,50.51,385231761,VZ
9,2013-11,50.79,51.46,49.36,49.62,182789488,VZ
10,2013-12,49.66,49.79,47.45,49.14,236616337,VZ
11,2014-01,49.08,49.4,46.58,48.02,379646365,VZ
12,2014-02,47.223,48.34,45.45,47.58,1455227738,VZ
13,2014-03,47.3,48.39,45.83,47.57,728585321,VZ
14,2014-04,47.54,48.46,45.85,46.73,516092104,VZ
15,2014-05,46.63,50.01,46.6,49.96,330411929,VZ
16,2014-06,50.02,50.33,48.75,48.93,261325437,VZ
17,2014-07,48.88,53.66,48.54,50.42,316777467,VZ
18,2014-08,50.52,50.52,48.2,49.82,263038617,VZ
19,2014-09,49.82,50.38,48.26,49.99,273507705,VZ
20,2014-10,49.73,50.5,46.89,50.25,369972320,VZ
21,2014-11,50.49,51.73,48.86,50.59,238993704,VZ
22,2014-12,50.68,50.84,45.09,46.78,419771364,VZ
23,2015-01,47.0,48.48,45.37,45.71,373597725,VZ
24,2015-02,46.2,49.99,45.76,49.45,346485337,VZ
25,2015-03,49.12,49.9,47.355,48.63,326984951,VZ
26,2015-04,48.45,50.65,48.43,50.44,324350417,VZ
27,2015-05,50.75,50.86,48.97,49.44,278931419,VZ
28,2015-06,49.44,49.54,46.6,46.61,351006491,VZ
29,2015-07,46.64,48.26,45.66,46.79,325824966,VZ
30,2015-08,47.18,48.21,38.06,46.01,328079698,VZ
31,2015-09,45.09,46.55,43.2845,43.51,333012499,VZ
32,2015-10,43.49,46.98,42.2,46.88,314386298,VZ
33,2015-11,47.02,47.08,44.1849,45.45,219242950,VZ
34,2015-12,45.51,47.23,44.33,46.22,293606303,VZ
35,2016-01,45.67,49.99,43.79,49.97,416446110,VZ
36,2016-02,49.94,51.38,49.265,50.73,379201312,VZ
37,2016-03,50.99,54.37,50.98,54.08,298272558,VZ
38,2016-04,53.32,54.49,49.47,50.94,312846707,VZ
39,2016-05,51.22,51.695,49.045,50.9,230555975,VZ
40,2016-06,50.87,55.92,50.12,55.84,330451471,VZ
41,2016-07,55.85,56.95,54.44,55.41,271550925,VZ
42,2016-08,55.58,55.8195,51.9,52.33,251622028,VZ
43,2016-09,52.14,53.88,51.02,51.98,281343969,VZ
44,2016-10,51.84,52.14,47.58,48.1,297122928,VZ
45,2016-11,48.32,51.2,46.01,49.9,336182134,VZ
46,2016-12,49.8,53.9,49.31,53.38,256147659,VZ
47,2017-01,53.96,54.83,48.51,49.01,361086157,VZ
48,2017-02,49.34,50.945,47.8,49.63,323243657,VZ
49,2017-03,49.56,50.63,48.67,48.75,287993661,VZ
50,2017-04,48.73,49.55,45.89,45.91,353225103,VZ
51,2017-05,46.06,46.945,44.46,46.64,329546698,VZ
52,2017-06,46.71,47.5,44.36,44.66,304901447,VZ
53,2017-07,44.61,48.57,42.8,48.4,324789864,VZ
54,2017-08,48.68,49.63,47.51,47.97,291245844,VZ
55,2017-09,48.02,50.315,45.71,49.49,302316296,VZ
56,2017-10,49.39,51.18,47.42,47.87,327191364,VZ
57,2017-11,48.15,51.0944,43.965,50.89,391336659,VZ
58,2017-12,50.9,53.69,50.2,52.93,305509528,VZ
59,2018-01,53.16,54.77,51.15,54.07,378149267,VZ
60,2018-02,54.49,54.75,49.07,51.01,107070256,VZ
