,date,open,high,low,close,volume,Name
0,2013-02,41.24,42.0,40.41,40.94,78798133,WBA
1,2013-03,40.87,47.76,39.74,47.68,155455855,WBA
2,2013-04,47.4,50.35,45.79,49.51,116473386,WBA
3,2013-05,49.51,51.25,47.72,47.76,122691273,WBA
4,2013-06,47.72,51.22,44.04,44.2,134441672,WBA
5,2013-07,44.97,51.62,43.31,50.25,139581358,WBA
6,2013-08,50.44,51.26,46.75,48.07,75683210,WBA
7,2013-09,48.22,56.84,48.18,53.8,128258715,WBA
8,2013-10,54.11,60.82,54.11,59.24,135393292,WBA
9,2013-11,59.6,60.93,58.42,59.2,88984467,WBA
10,2013-12,59.33,59.688,54.86,57.44,122697737,WBA
11,2014-01,57.2,62.24,56.345,57.35,132879125,WBA
12,2014-02,57.33,69.84,55.27,67.95,158986083,WBA
13,2014-03,67.6,69.45,63.07,66.03,133859117,WBA
14,2014-04,65.61,68.31,62.8,67.9,135006696,WBA
15,2014-05,68.03,71.97,67.5,71.91,101032195,WBA
16,2014-06,71.61,76.39,71.22,74.13,127276711,WBA
17,2014-07,74.3,74.37,68.48,68.77,124394972,WBA
18,2014-08,68.0,72.91,57.75,60.52,293819850,WBA
19,2014-09,60.23,65.19,58.39,59.27,162453882,WBA
20,2014-10,59.58,67.61,58.52,64.22,137601483,WBA
21,2014-11,64.32,69.37,64.03,68.61,79690784,WBA
22,2014-12,68.29,77.98,66.455,76.2,137980866,WBA
23,2015-01,76.11,77.94,73.16,73.75,79105916,WBA
24,2015-02,73.06,83.77,73.0,83.08,86464577,WBA
25,2015-03,83.24,88.81,81.01,84.68,139589805,WBA
26,2015-04,84.72,93.42,82.64,82.93,116621107,WBA
27,2015-05,82.53,87.18,82.53,85.84,53142902,WBA
28,2015-06,86.17,89.38,82.92,84.44,79501854,WBA
29,2015-07,85.08,97.27,84.73,96.63,84485509,WBA
30,2015-08,96.12,97.3,76.0075,86.55,92107183,WBA
31,2015-09,84.34,92.07,81.45,83.1,92350185,WBA
32,2015-10,83.57,95.74,82.51,84.68,125267194,WBA
33,2015-11,84.3,89.15,78.9,84.03,98719876,WBA
34,2015-12,84.43,87.05,81.03,85.155,87928563,WBA
35,2016-01,83.7,83.77,76.62,79.72,114180354,WBA
36,2016-02,78.89,80.71,71.5,78.94,94085090,WBA
37,2016-03,79.92,84.58,78.33,84.24,72775653,WBA
38,2016-04,84.24,86.84,78.28,79.28,95971732,WBA
39,2016-05,79.1,81.92,75.735,77.4,100569482,WBA
40,2016-06,77.42,85.09,77.22,83.27,115100379,WBA
41,2016-07,83.71,84.97,78.8,79.25,104582841,WBA
42,2016-08,78.88,83.8799,78.05,80.71,89239403,WBA
43,2016-09,81.04,85.08,78.9,80.62,95743756,WBA
44,2016-10,80.27,83.34,76.26,82.73,87575380,WBA
45,2016-11,81.95,86.26,77.02,84.73,107811390,WBA
46,2016-12,84.83,88.0,82.42,82.76,76333001,WBA
47,2017-01,83.1,85.26,80.31,81.94,88139426,WBA
48,2017-02,81.2,88.0,80.16,86.38,69705875,WBA
49,2017-03,86.82,87.23,82.55,83.05,73521352,WBA
50,2017-04,83.36,87.79,80.3,86.54,82154318,WBA
51,2017-05,86.36,86.865,80.13,81.02,85850059,WBA
52,2017-06,81.29,83.5,75.18,78.31,140244777,WBA
53,2017-07,78.52,80.9601,76.79,80.67,107617807,WBA
54,2017-08,80.43,82.24,79.25,81.5,100613919,WBA
55,2017-09,81.63,83.89,76.62,77.22,134469694,WBA
56,2017-10,77.32,77.5,63.82,66.27,207164898,WBA
57,2017-11,65.34,73.83,65.17,72.76,159406739,WBA
58,2017-12,71.96,73.96,69.5,72.62,120399373,WBA
59,2018-01,73.28,80.68,70.73,75.26,127457616,WBA
60,2018-02,74.53,76.35,68.301,71.53,30447026,WBA
