,date,open,high,low,close,volume,Name
0,2013-02,35.84,36.22,33.09,34.71,124723094,WMB
1,2013-03,34.53,38.0,33.34,37.46,144592957,WMB
2,2013-04,37.84,38.57,36.11,38.13,99834029,WMB
3,2013-05,37.97,38.2,35.02,35.18,211874060,WMB
4,2013-06,35.22,35.37,31.25,32.47,167543411,WMB
5,2013-07,32.65,34.76,32.36,34.17,97984850,WMB
6,2013-08,34.79,36.77,34.02,36.24,140922069,WMB
7,2013-09,36.6,36.94,34.95,36.36,130628579,WMB
8,2013-10,36.32,37.47,34.67,35.71,116059003,WMB
9,2013-11,35.69,36.23,34.2199,35.22,112383224,WMB
10,2013-12,35.34,38.68,33.98,38.57,169388327,WMB
11,2014-01,38.39,40.89,37.77,40.49,145172071,WMB
12,2014-02,40.49,42.47,39.29,41.3,185165374,WMB
13,2014-03,41.15,42.94,39.86,40.58,104981783,WMB
14,2014-04,39.97,42.42,39.31,42.17,87098517,WMB
15,2014-05,41.74,47.11,40.92,46.96,100963560,WMB
16,2014-06,46.95,59.68,46.57,58.21,187866473,WMB
17,2014-07,58.44,58.86,55.52,56.63,99971201,WMB
18,2014-08,55.32,59.455,54.28,59.44,93225522,WMB
19,2014-09,59.32,59.77,54.8,55.35,117897428,WMB
20,2014-10,55.34,56.9999,46.15,55.51,204259575,WMB
21,2014-11,55.52,56.81,51.515,51.75,91145583,WMB
22,2014-12,51.35,51.72,41.21,44.94,242559445,WMB
23,2015-01,44.83,45.57,40.07,43.86,166123610,WMB
24,2015-02,44.67,50.69,43.61,49.04,159631727,WMB
25,2015-03,48.93,51.15,45.7,50.59,127093669,WMB
26,2015-04,50.88,52.88,49.64,51.19,87402934,WMB
27,2015-05,51.18,54.49,48.41,51.1,177077462,WMB
28,2015-06,51.03,61.38,46.28,57.39,359417589,WMB
29,2015-07,57.16,58.77,51.34,52.48,149638284,WMB
30,2015-08,52.52,55.42,43.33,48.2,166684829,WMB
31,2015-09,46.87,48.47,34.64,36.85,239192426,WMB
32,2015-10,37.24,44.51,36.6,39.44,182288918,WMB
33,2015-11,39.1,40.76,33.48,36.56,143069621,WMB
34,2015-12,36.69,36.97,20.95,25.7,329455493,WMB
35,2016-01,25.52,26.68,12.77,19.3,440579026,WMB
36,2016-02,18.89,19.85,10.22,15.99,304779457,WMB
37,2016-03,16.14,19.9,14.65,16.07,255488761,WMB
38,2016-04,15.7,20.57,14.6,19.39,273483377,WMB
39,2016-05,19.37,23.0,18.35,22.16,222221237,WMB
40,2016-06,21.84,23.89,19.6,21.63,261022789,WMB
41,2016-07,20.5,25.438000000000002,19.68,23.97,230115929,WMB
42,2016-08,23.67,29.09,22.39,27.94,280372985,WMB
43,2016-09,27.77,31.43,27.5,30.73,184664467,WMB
44,2016-10,30.81,30.93,28.56,29.2,124180538,WMB
45,2016-11,29.63,31.85,27.35,30.7,146082984,WMB
46,2016-12,31.24,32.21,28.79,31.14,156758303,WMB
47,2017-01,31.35,32.69,27.75,28.84,283378969,WMB
48,2017-02,29.0,29.69,27.68,28.34,152377693,WMB
49,2017-03,28.78,29.93,28.0,29.59,172746416,WMB
50,2017-04,29.6,31.02,29.27,30.63,114798857,WMB
51,2017-05,30.63,31.25,28.1,28.6,140033304,WMB
52,2017-06,28.6,30.425,27.65,30.28,140191481,WMB
53,2017-07,30.49,32.18,30.18,31.78,93087560,WMB
54,2017-08,31.13,31.735,28.76,29.73,91902975,WMB
55,2017-09,29.81,30.78,29.55,30.01,89617029,WMB
56,2017-10,29.84,30.4,27.8,28.5,88084541,WMB
57,2017-11,28.84,29.24,26.8188,29.05,118532039,WMB
58,2017-12,29.29,30.72,28.18,30.49,108078977,WMB
59,2018-01,30.67,33.67,30.54,31.39,116531891,WMB
60,2018-02,31.54,31.79,28.691,30.0,36216882,WMB
