,date,open,high,low,close,volume,Name
0,2013-02,36.21,37.5,35.5,37.32,40295166,WM
1,2013-03,37.18,39.27,36.59,39.21,46153134,WM
2,2013-04,39.05,41.0,37.965,40.98,52163391,WM
3,2013-05,40.81,43.0,40.461,41.93,37891022,WM
4,2013-06,42.0,42.0,38.811,40.33,49591073,WM
5,2013-07,40.4,42.83,39.9301,42.03,30004623,WM
6,2013-08,42.24,43.585,40.31,40.44,33670333,WM
7,2013-09,40.87,42.48,39.6,41.24,30768498,WM
8,2013-10,41.24,44.6,40.281,43.54,38015372,WM
9,2013-11,43.52,46.38,43.35,45.68,55713616,WM
10,2013-12,45.27,45.36,42.95,44.87,44765552,WM
11,2014-01,44.79,44.8,40.86,41.78,45221653,WM
12,2014-02,41.72,43.78,40.45,41.5,51722027,WM
13,2014-03,40.88,42.1,40.35,42.07,44045191,WM
14,2014-04,42.12,44.5,41.04,44.45,40532784,WM
15,2014-05,44.39,44.72,43.24,44.68,35032053,WM
16,2014-06,44.69,44.89,43.74,44.73,32584903,WM
17,2014-07,44.75,45.69,43.49,44.89,34420981,WM
18,2014-08,44.4,47.35,43.97,46.97,32420344,WM
19,2014-09,46.97,47.69,46.51,47.53,29289807,WM
20,2014-10,47.64,49.18,45.5,48.89,48873805,WM
21,2014-11,48.79,49.71,48.2,48.73,34345052,WM
22,2014-12,48.73,51.95,48.29,51.32,53677272,WM
23,2015-01,51.25,53.49,50.86,51.43,44555571,WM
24,2015-02,51.46,54.84,50.67,54.48,42564731,WM
25,2015-03,54.66,55.31,52.67,54.23,51103591,WM
26,2015-04,54.25,55.93,49.43,49.53,63933075,WM
27,2015-05,49.57,50.45,48.086000000000006,49.65,41539071,WM
28,2015-06,49.82,49.91,46.31,46.35,37663760,WM
29,2015-07,46.64,51.46,45.86,51.13,49390311,WM
30,2015-08,51.05,53.055,48.79,50.06,51762779,WM
31,2015-09,49.32,51.18,48.9,49.81,56575993,WM
32,2015-10,49.85,54.8499,49.49,53.76,46357938,WM
33,2015-11,53.86,55.28,52.021,53.77,34070990,WM
34,2015-12,54.05,54.57,51.08,53.37,46869661,WM
35,2016-01,52.6,53.35,50.36,52.95,49195828,WM
36,2016-02,52.69,56.8,51.68,55.85,49065974,WM
37,2016-03,56.19,59.99,56.06,59.0,52664675,WM
38,2016-04,58.84,59.27,56.05,58.79,57770758,WM
39,2016-05,59.0,62.05,58.93,60.96,43374118,WM
40,2016-06,60.61,66.27,60.59,66.27,42844487,WM
41,2016-07,66.15,70.5,65.65,66.12,45923762,WM
42,2016-08,66.25,67.24,63.61,63.94,41212053,WM
43,2016-09,63.98,64.84,62.41,63.76,52721627,WM
44,2016-10,63.7,65.87,61.0807,65.66,40109583,WM
45,2016-11,64.92,70.665,63.19,69.52,41726512,WM
46,2016-12,69.62,71.78,68.84,70.91,38683685,WM
47,2017-01,71.0,71.28,69.0,69.5,30949910,WM
48,2017-02,69.32,73.53,69.0,73.32,29882969,WM
49,2017-03,73.35,73.9,71.53,72.92,37667616,WM
50,2017-04,73.08,74.58,71.91,72.78,29345684,WM
51,2017-05,73.08,73.62,70.085,72.91,35192483,WM
52,2017-06,72.96,74.52,72.24,73.35,38789174,WM
53,2017-07,73.44,76.0,73.18,75.15,31226354,WM
54,2017-08,75.66,77.175,74.61,77.11,32862567,WM
55,2017-09,77.24,78.819,75.715,78.27,35562453,WM
56,2017-10,78.5,82.87,75.86,82.17,47133634,WM
57,2017-11,82.21,82.97,78.33,82.25,37254169,WM
58,2017-12,82.39,86.89,80.82,86.3,35577269,WM
59,2018-01,86.15,89.73,85.55,88.43,34473604,WM
60,2018-02,88.47,88.64,78.87,81.73,16832497,WM
