,date,open,high,low,close,volume,Name
0,2013-02,123.51,126.92,113.39,116.9,18776188,WYNN
1,2013-03,116.95,125.40899999999999,115.12,125.16,20613464,WYNN
2,2013-04,125.23,137.53,114.41,137.3,30865932,WYNN
3,2013-05,136.87,144.99,135.55,135.89,25015367,WYNN
4,2013-06,136.2,140.41,121.84,127.97,30676235,WYNN
5,2013-07,129.28,134.75,124.568,133.13,26926864,WYNN
6,2013-08,135.26,146.04,134.35,141.04,22264199,WYNN
7,2013-09,142.3,159.85,140.5,158.01,20052666,WYNN
8,2013-10,157.81,173.38,155.77,166.25,29974416,WYNN
9,2013-11,166.96,170.31,157.48,165.87,25032812,WYNN
10,2013-12,165.57,194.53,161.88,194.21,26584475,WYNN
11,2014-01,194.14,219.91,189.03,217.42,39880584,WYNN
12,2014-02,216.06,244.0,202.2,242.49,34039665,WYNN
13,2014-03,239.57,249.31,207.06,222.15,30392804,WYNN
14,2014-04,229.42,231.0,188.43,203.89,44312618,WYNN
15,2014-05,205.22,222.33,195.09,214.97,50335869,WYNN
16,2014-06,215.23,218.04,193.5,207.56,29504297,WYNN
17,2014-07,207.93,220.5,198.5,213.2,31871183,WYNN
18,2014-08,212.57,214.5699,191.89,192.88,31239469,WYNN
19,2014-09,189.0999,190.45,172.525,187.08,49279459,WYNN
20,2014-10,185.0,192.45,168.8021,190.01,41719220,WYNN
21,2014-11,189.96,191.73,174.9,178.61,29905984,WYNN
22,2014-12,177.03,177.12,133.58,148.76,46285542,WYNN
23,2015-01,148.59,157.75,138.11,147.95,33295180,WYNN
24,2015-02,148.22,160.41,140.96,142.5,37743787,WYNN
25,2015-03,142.5,145.4,121.53,125.88,58713266,WYNN
26,2015-04,126.11,136.93,108.27,111.07,56619096,WYNN
27,2015-05,111.64,118.9299,100.45,100.69,46049019,WYNN
28,2015-06,101.03,109.95,93.59,98.67,55839654,WYNN
29,2015-07,102.89,112.0,95.87,103.23,59270315,WYNN
30,2015-08,103.1,104.99,71.25,75.05,57261992,WYNN
31,2015-09,72.55,76.75,52.26,53.12,89162870,WYNN
32,2015-10,53.43,77.25,50.96,69.95,149576708,WYNN
33,2015-11,71.65,75.69,57.6611,62.77,73064612,WYNN
34,2015-12,63.79,73.0,60.44,69.19,93184275,WYNN
35,2016-01,67.03,72.64,49.95,67.34,90849796,WYNN
36,2016-02,66.51,83.6,56.51,82.48,93627382,WYNN
37,2016-03,84.45,96.6,79.77,93.43,84794952,WYNN
38,2016-04,91.84,102.44,85.72,88.3,87602834,WYNN
39,2016-05,91.3,97.7,87.16,96.18,54185818,WYNN
40,2016-06,94.01,105.69,86.34,90.64,58035049,WYNN
41,2016-07,90.8,104.91,87.26,97.95,56878755,WYNN
42,2016-08,97.95,104.44,88.5,89.32,61577043,WYNN
43,2016-09,93.58,109.5,91.11,97.42,88660962,WYNN
44,2016-10,100.29,101.25,91.06,94.55,45043362,WYNN
45,2016-11,96.43,104.9,82.51,101.99,69234690,WYNN
46,2016-12,101.0,102.3,85.57,86.51,71755389,WYNN
47,2017-01,87.2,104.3899,86.2,101.43,50925169,WYNN
48,2017-02,99.56,100.66,92.67,96.15,38039612,WYNN
49,2017-03,99.9,116.19,98.25,114.61,61185558,WYNN
50,2017-04,117.82,127.2,112.91,123.01,48446073,WYNN
51,2017-05,123.99,129.03,119.17,128.7,41964917,WYNN
52,2017-06,131.8,139.67,127.6,134.12,39719021,WYNN
53,2017-07,132.8,139.66,127.01,129.34,47803803,WYNN
54,2017-08,130.13,139.94,124.11,138.99,43475865,WYNN
55,2017-09,141.4,150.15,140.2,148.92,31114376,WYNN
56,2017-10,147.11,150.4,139.2,147.49,42027026,WYNN
57,2017-11,152.38,160.0,149.1,158.08,28852683,WYNN
58,2017-12,159.35,171.06,154.7416,168.59,26024679,WYNN
59,2018-01,165.11,203.63,160.38,165.59,125558159,WYNN
60,2018-02,166.01,180.1,162.24,177.32,36124347,WYNN
