,date,open,high,low,close,volume,Name
0,2013-02,59.6,60.51,56.3,60.24,18527324,WYN
1,2013-03,59.8,64.8,59.49,64.48,23457208,WYN
2,2013-04,64.5,65.3,59.8,60.08,31925276,WYN
3,2013-05,59.83,65.0,58.1,58.12,35652599,WYN
4,2013-06,58.38,60.035,52.84,57.23,32667996,WYN
5,2013-07,57.63,62.73,56.37,62.3,22839878,WYN
6,2013-08,62.83,64.18,58.0,59.36,17798585,WYN
7,2013-09,60.12,63.89,59.32,60.97,13710247,WYN
8,2013-10,60.8,67.52,58.5301,66.4,25008838,WYN
9,2013-11,66.7,72.38,65.53,71.71,20972398,WYN
10,2013-12,71.68,74.18,69.87,73.69,20873032,WYN
11,2014-01,73.39,75.25,70.49,70.94,22418150,WYN
12,2014-02,71.2,73.35,66.32,72.88,31833029,WYN
13,2014-03,71.94,76.63,70.36,73.23,27386722,WYN
14,2014-04,73.73,75.0,69.12,71.34,27643583,WYN
15,2014-05,71.34,74.02,69.9,73.93,19150773,WYN
16,2014-06,73.98,75.99,72.0,75.72,29877651,WYN
17,2014-07,75.8,78.98,75.15,75.55,19502149,WYN
18,2014-08,75.66,81.44,74.78,80.94,17534901,WYN
19,2014-09,81.2,82.94,79.915,81.26,15973674,WYN
20,2014-10,81.23,81.23,69.86,77.67,33645849,WYN
21,2014-11,77.65,84.055,75.96,83.36,18929489,WYN
22,2014-12,83.0,87.12,81.37,85.76,19725224,WYN
23,2015-01,86.26,88.41,82.21,83.79,16928939,WYN
24,2015-02,83.39,92.61,79.55,91.48,26086986,WYN
25,2015-03,91.81,94.35,87.92,90.47,19721625,WYN
26,2015-04,90.04,92.13,84.83,85.4,20176667,WYN
27,2015-05,85.76,88.3,84.51,84.91,16915077,WYN
28,2015-06,85.07,86.12,81.58,81.91,20671130,WYN
29,2015-07,82.54,87.33,80.36,82.52,30300346,WYN
30,2015-08,82.68,83.315,70.415,76.48,29232868,WYN
31,2015-09,74.7,79.56,69.77,71.9,22609921,WYN
32,2015-10,71.93,82.7,70.685,81.35,32752319,WYN
33,2015-11,81.36,82.99,73.72,75.92,17447231,WYN
34,2015-12,76.47,77.55,70.12,72.65,22795310,WYN
35,2016-01,71.39,71.76,61.72,64.9,32163896,WYN
36,2016-02,64.58,73.48,60.59,72.84,33585715,WYN
37,2016-03,73.66,81.08,72.89,76.43,33759056,WYN
38,2016-04,75.64,78.38,70.0,70.95,29363609,WYN
39,2016-05,71.46,71.75,66.01,67.39,25925567,WYN
40,2016-06,67.04,71.87,64.81,71.23,27477668,WYN
41,2016-07,71.17,77.63,69.1,71.02,28624349,WYN
42,2016-08,70.72,71.97,68.04,70.79,24862740,WYN
43,2016-09,70.98,71.5,66.0032,67.33,19711824,WYN
44,2016-10,67.44,69.38,62.6,65.84,23492228,WYN
45,2016-11,66.12,74.69,64.18,71.99,21714377,WYN
46,2016-12,72.4,78.18,72.1201,76.37,17256901,WYN
47,2017-01,77.1,80.66,75.36,79.06,17658419,WYN
48,2017-02,79.41,86.72,78.61,83.24,26073169,WYN
49,2017-03,84.26,85.215,81.16,84.29,21776484,WYN
50,2017-04,84.39,102.44,83.4,95.31,33784128,WYN
51,2017-05,95.46,101.03,93.7,100.99,30630892,WYN
52,2017-06,101.68,105.63,98.13,100.41,23196127,WYN
53,2017-07,101.48,104.85,99.965,104.37,12933551,WYN
54,2017-08,101.27,106.5,95.3,99.68,28470296,WYN
55,2017-09,99.82,105.74,96.26700000000001,105.41,21246723,WYN
56,2017-10,105.35,110.74,102.0,106.85,24147020,WYN
57,2017-11,108.56,112.85,104.77,112.39,19797977,WYN
58,2017-12,112.45,117.0,109.78,115.87,15600998,WYN
59,2018-01,116.59,127.96,111.44,124.13,23244587,WYN
60,2018-02,123.45,125.41,113.62,118.72,5619032,WYN
