,date,open,high,low,close,volume,Name
0,2013-02,30.19,30.91,28.78,29.41,66473418,WY
1,2013-03,29.3,31.435,28.9,31.38,67980966,WY
2,2013-04,31.36,32.0,28.91,30.51,101611374,WY
3,2013-05,30.36,33.24,29.54,29.82,104846722,WY
4,2013-06,29.99,30.47,26.38,28.49,194621961,WY
5,2013-07,28.52,29.86,27.57,28.4,92294025,WY
6,2013-08,28.55,28.78,26.64,27.38,97402901,WY
7,2013-09,27.57,29.64,26.91,28.63,88111859,WY
8,2013-10,28.72,32.0,28.01,30.415,91312683,WY
9,2013-11,30.41,30.8,28.56,30.13,72602993,WY
10,2013-12,30.1,31.71,29.01,31.57,79398574,WY
11,2014-01,31.38,31.59,29.66,29.88,67910833,WY
12,2014-02,29.88,30.6,28.84,29.51,65802883,WY
13,2014-03,29.37,30.29,28.63,29.35,77699144,WY
14,2014-04,29.24,30.0,27.48,29.85,80747974,WY
15,2014-05,29.76,31.48,29.5401,31.42,97788398,WY
16,2014-06,31.46,33.255,30.5,33.09,218761781,WY
17,2014-07,33.07,33.75,31.3,31.32,218516598,WY
18,2014-08,31.57,34.6,31.16,33.95,55549282,WY
19,2014-09,34.0,34.178000000000004,31.55,31.86,68199973,WY
20,2014-10,31.86,34.36,31.61,33.86,86081688,WY
21,2014-11,33.88,35.54,33.77,35.31,57462530,WY
22,2014-12,35.29,36.88,34.68,35.89,71556176,WY
23,2015-01,35.87,37.04,35.12,35.85,60823888,WY
24,2015-02,35.83,35.83,34.75,35.11,58304321,WY
25,2015-03,35.18,35.6,32.74,33.15,71682596,WY
26,2015-04,33.17,33.19,31.25,31.51,77999092,WY
27,2015-05,31.39,33.06,31.06,32.56,81092163,WY
28,2015-06,32.59,33.105,31.21,31.5,84611764,WY
29,2015-07,31.53,32.34,29.631999999999998,30.69,66337924,WY
30,2015-08,30.67,31.34,26.84,27.94,89214601,WY
31,2015-09,27.49,29.15,26.76,27.34,79894827,WY
32,2015-10,27.62,30.3097,26.73,29.33,70791940,WY
33,2015-11,29.79,32.55,28.72,32.17,120847029,WY
34,2015-12,32.37,32.715,29.265,29.98,79030833,WY
35,2016-01,29.51,30.03,23.73,25.61,111165880,WY
36,2016-02,25.44,26.43,22.06,25.98,179987293,WY
37,2016-03,26.13,31.38,26.09,30.98,139454542,WY
38,2016-04,30.82,32.555,30.209,32.12,95210333,WY
39,2016-05,32.26,32.44,29.99,31.5,108203370,WY
40,2016-06,31.35,31.62,26.55,29.77,138879004,WY
41,2016-07,29.65,33.065,29.515,32.72,90207865,WY
42,2016-08,32.72,33.17,30.7915,31.85,71724478,WY
43,2016-09,31.82,32.59,29.66,31.94,77732346,WY
44,2016-10,32.0,32.09,29.76,29.93,69848636,WY
45,2016-11,29.94,32.27,28.5815,30.83,91190396,WY
46,2016-12,30.83,33.28,29.81,30.09,80063243,WY
47,2017-01,30.23,32.31,29.875,31.33,82395778,WY
48,2017-02,31.33,34.1,30.75,33.72,86957676,WY
49,2017-03,33.66,34.37,32.74,33.98,76737598,WY
50,2017-04,34.0,35.5,33.39,33.87,85447412,WY
51,2017-05,33.75,33.87,32.455,32.96,66446807,WY
52,2017-06,33.07,34.3,32.28,33.5,66385365,WY
53,2017-07,33.63,34.46,31.8,33.02,72908758,WY
54,2017-08,33.13,33.25,30.9504,32.61,55847778,WY
55,2017-09,32.7,34.195,31.83,34.03,65979586,WY
56,2017-10,34.06,36.0,33.92,35.91,52083322,WY
57,2017-11,36.0,36.92,35.01,35.38,58645139,WY
58,2017-12,35.55,36.25,34.7,35.26,51658801,WY
59,2018-01,35.3,37.89,34.57,37.54,87754511,WY
60,2018-02,37.47,37.67,33.68,34.52,35493370,WY
