,date,open,high,low,close,volume,Name
0,2013-02,66.14,70.36,64.81,67.31,15070809,XEC
1,2013-03,66.87,79.69,63.12,75.44,19780799,XEC
2,2013-04,74.03,74.67,67.36,73.18,17418049,XEC
3,2013-05,72.53,76.61,67.92,70.14,20487230,XEC
4,2013-06,70.37,75.44,62.98,64.99,19636008,XEC
5,2013-07,65.73,78.9,65.17,76.43,15592484,XEC
6,2013-08,77.52,86.28,77.22,83.81,18186563,XEC
7,2013-09,85.2,97.6,82.92,96.4,16194740,XEC
8,2013-10,96.54,113.03,95.02,105.35,24525780,XEC
9,2013-11,103.82,113.0,94.28,94.58,24085643,XEC
10,2013-12,96.18,105.78,94.11,104.91,17605037,XEC
11,2014-01,102.78,105.88,92.38,97.98,20599659,XEC
12,2014-02,97.98,117.11,94.58,115.71,25973429,XEC
13,2014-03,115.64,121.71,107.5,119.11,25085520,XEC
14,2014-04,119.11,124.48899999999999,111.49,119.12,25532312,XEC
15,2014-05,118.89,139.9,116.575,129.13,20396896,XEC
16,2014-06,129.51,143.75,128.56,143.46,35503561,XEC
17,2014-07,143.59,150.71,137.07,139.02,22614828,XEC
18,2014-08,137.6,145.26,132.01,145.16,21686369,XEC
19,2014-09,144.41,145.14,125.25,126.53,22244073,XEC
20,2014-10,126.94,129.115,99.27,113.67,37907919,XEC
21,2014-11,114.62,123.0,102.77,104.95,28036439,XEC
22,2014-12,103.98,114.73,96.02,106.0,35731539,XEC
23,2015-01,105.1,107.98,91.74,103.2,29750315,XEC
24,2015-02,105.55,118.87,102.86,109.68,32321819,XEC
25,2015-03,109.3,116.42,104.46,115.09,22526772,XEC
26,2015-04,116.22,131.58,115.32,124.4,25934116,XEC
27,2015-05,124.01,132.18,110.92,115.51,27031637,XEC
28,2015-06,115.4,122.12,108.59,110.31,21069880,XEC
29,2015-07,110.59,111.27,98.93,104.12,26107666,XEC
30,2015-08,103.08,118.87,97.97,110.51,32771656,XEC
31,2015-09,107.1,112.84,97.23,102.48,22447073,XEC
32,2015-10,104.42,123.85,101.62,118.06,29127305,XEC
33,2015-11,118.16,124.905,110.4,119.02,20614299,XEC
34,2015-12,119.16,122.405,85.0,89.38,35497782,XEC
35,2016-01,89.2,93.0,72.77,93.0,34824772,XEC
36,2016-02,90.8,92.61,75.01,84.03,34970093,XEC
37,2016-03,84.75,100.07,81.795,97.27,29122164,XEC
38,2016-04,94.83,115.69,93.21,108.88,21751589,XEC
39,2016-05,108.74,120.44,102.91,116.28,22014916,XEC
40,2016-06,115.17,123.475,108.97,119.32,21328864,XEC
41,2016-07,119.75,122.94,112.19,120.02,15778357,XEC
42,2016-08,118.66,135.43,114.37,132.18,18578384,XEC
43,2016-09,131.53,136.95,121.605,134.37,18260174,XEC
44,2016-10,134.06,142.2,128.83,129.13,16878954,XEC
45,2016-11,130.62,139.46,118.59,137.88,25118326,XEC
46,2016-12,141.06,146.96,135.105,135.9,15388316,XEC
47,2017-01,137.53,144.3,133.5,135.21,17292711,XEC
48,2017-02,136.13,136.31,122.51,125.72,26741611,XEC
49,2017-03,127.3,128.98,114.715,119.49,22186157,XEC
50,2017-04,119.27,123.92,115.07,116.68,19570451,XEC
51,2017-05,116.85,123.76,106.035,107.56,26058175,XEC
52,2017-06,107.69,108.49,91.22,94.01,31693083,XEC
53,2017-07,94.59,100.79,89.49,99.03,19731167,XEC
54,2017-08,98.81,102.83,91.1,99.69,28448675,XEC
55,2017-09,100.17,116.43,98.78,113.67,17975873,XEC
56,2017-10,112.06,117.86,111.19,116.93,14404391,XEC
57,2017-11,117.75,127.89,112.0,116.11,18548399,XEC
58,2017-12,117.02,123.7325,109.551,122.01,17228093,XEC
59,2018-01,122.74,130.16,111.131,112.2,21032804,XEC
60,2018-02,113.04,115.59,105.71,105.91,6035057,XEC
