,date,open,high,low,close,volume,Name
0,2013-02,37.0,39.43,36.45,37.27,48082736,XLNX
1,2013-03,37.02,39.24,36.37,38.17,61794547,XLNX
2,2013-04,38.47,38.47,34.98,37.91,68735613,XLNX
3,2013-05,37.88,41.47,37.5,40.65,68352506,XLNX
4,2013-06,40.67,41.36,37.63,39.61,73033383,XLNX
5,2013-07,39.77,46.88,39.32,46.69,80758620,XLNX
6,2013-08,46.79,47.18,43.04,43.42,62710121,XLNX
7,2013-09,43.99,48.12,43.99,46.851000000000006,57308959,XLNX
8,2013-10,46.68,47.59,44.08,45.428999999999995,78314182,XLNX
9,2013-11,45.68,45.68,42.84,44.43,55935968,XLNX
10,2013-12,44.25,46.0,42.88,45.92,45086208,XLNX
11,2014-01,46.678999999999995,48.91,45.05,46.42,75207730,XLNX
12,2014-02,46.18,52.39,44.63,52.2,84470067,XLNX
13,2014-03,51.76,55.59,51.24,54.27,75507761,XLNX
14,2014-04,54.96,55.22,46.4,47.19,83054674,XLNX
15,2014-05,47.28,47.475,44.96,46.96,54125830,XLNX
16,2014-06,46.48,47.69,45.6201,47.31,52397468,XLNX
17,2014-07,47.5,49.5,39.12,41.13,113329941,XLNX
18,2014-08,41.1,42.83,40.91,42.25,62202971,XLNX
19,2014-09,42.4,44.82,41.84,42.35,64181102,XLNX
20,2014-10,42.43,45.335,36.24,44.48,125154306,XLNX
21,2014-11,44.42,45.67,42.67,45.44,41179689,XLNX
22,2014-12,45.33,47.3,42.34,43.29,80674505,XLNX
23,2015-01,43.51,43.93,37.195,38.575,91814066,XLNX
24,2015-02,38.33,42.53,38.07,42.37,53049144,XLNX
25,2015-03,42.3,43.39,39.27,42.3,100596701,XLNX
26,2015-04,42.42,45.26,41.5,43.36,65402400,XLNX
27,2015-05,43.74,48.73,42.82,47.42,63183647,XLNX
28,2015-06,48.08,48.53,43.87,44.16,73974869,XLNX
29,2015-07,44.58,44.91,39.42,41.75,67742934,XLNX
30,2015-08,41.54,44.36,38.7,41.89,86058117,XLNX
31,2015-09,40.71,43.81,39.95,42.4,56467875,XLNX
32,2015-10,42.55,49.4,41.11,47.62,73057387,XLNX
33,2015-11,47.78,49.875,46.25,49.69,40431865,XLNX
34,2015-12,49.87,50.72,46.4,46.97,46881962,XLNX
35,2016-01,46.12,50.3,40.44,50.27,83347002,XLNX
36,2016-02,49.91,50.258,45.85,47.22,61877772,XLNX
37,2016-03,47.8,48.32,45.91,47.43,59738446,XLNX
38,2016-04,46.99,47.695,41.53,43.08,64872685,XLNX
39,2016-05,43.21,48.0,42.37,47.39,70613321,XLNX
40,2016-06,47.15,47.97,43.5,46.13,47630747,XLNX
41,2016-07,45.87,51.48,44.95,51.08,41155647,XLNX
42,2016-08,51.0,54.69,50.0467,54.21,44952851,XLNX
43,2016-09,54.17,55.49,51.69,54.34,47100585,XLNX
44,2016-10,54.31,54.84,48.75,50.87,53338947,XLNX
45,2016-11,51.03,54.74,49.78,53.98,58688628,XLNX
46,2016-12,54.11,62.2399,52.54,60.37,64608142,XLNX
47,2017-01,60.68,60.8,56.85,58.2,61436501,XLNX
48,2017-02,58.19,60.51,56.6,58.82,44541207,XLNX
49,2017-03,59.22,60.81,57.2,57.89,48722559,XLNX
50,2017-04,57.93,64.9,54.99,63.11,68613713,XLNX
51,2017-05,63.29,67.75,62.13,66.71,77205983,XLNX
52,2017-06,66.41,68.55,63.21,64.32,70848075,XLNX
53,2017-07,64.86,68.68,62.955,63.26,54234676,XLNX
54,2017-08,63.3,66.48,60.12,66.06,50712238,XLNX
55,2017-09,66.12,70.93,63.38,70.83,46994202,XLNX
56,2017-10,71.03,73.8953,67.25,73.69,46686938,XLNX
57,2017-11,74.06,75.14,68.35,69.51,37089310,XLNX
58,2017-12,69.0,70.5,67.04,67.42,36325364,XLNX
59,2018-01,67.9,77.26,67.43,73.02,59655357,XLNX
60,2018-02,72.77,73.81,64.51,66.97,18246409,XLNX
