,date,open,high,low,close,volume,Name
0,2013-02,28.03,29.23,28.02,28.64,39181132,XL
1,2013-03,28.5,30.61,28.23,30.3,44214037,XL
2,2013-04,30.35,31.735,29.93,31.14,41942615,XL
3,2013-05,31.14,32.96,30.7,31.43,61852200,XL
4,2013-06,31.53,31.7,28.88,30.32,45325328,XL
5,2013-07,30.48,33.12,30.085,31.35,39082327,XL
6,2013-08,31.67,32.2,29.48,29.56,37294969,XL
7,2013-09,30.05,31.64,29.63,30.82,34963596,XL
8,2013-10,30.85,32.28,30.03,30.57,41034847,XL
9,2013-11,30.57,32.29,30.03,31.99,38698368,XL
10,2013-12,30.75,32.03,29.62,31.84,42339088,XL
11,2014-01,31.71,31.85,28.43,28.74,49364178,XL
12,2014-02,28.74,30.43,27.79,30.4,37387764,XL
13,2014-03,29.98,31.28,29.86,31.25,42827083,XL
14,2014-04,31.34,31.99,30.54,31.35,35920870,XL
15,2014-05,31.43,32.64,31.37,32.46,37142086,XL
16,2014-06,32.61,33.405,32.25,32.73,27496690,XL
17,2014-07,32.92,35.52,32.2,32.24,40979385,XL
18,2014-08,32.44,34.29,31.83,34.18,40427364,XL
19,2014-09,34.33,34.58,33.095,33.17,28529244,XL
20,2014-10,33.17,34.67,30.83,33.88,62404975,XL
21,2014-11,33.82,35.84,33.48,35.52,26712373,XL
22,2014-12,35.43,36.35,32.88,34.37,56075159,XL
23,2015-01,34.5,36.34,33.98,34.49,70804129,XL
24,2015-02,34.57,36.3,34.21,36.2,46666482,XL
25,2015-03,36.1,37.45,35.38,36.8,64623675,XL
26,2015-04,36.97,38.255,36.5306,37.08,67776140,XL
27,2015-05,37.19,38.02,36.33,37.68,63488684,XL
28,2015-06,37.79,38.78,36.73,37.2,59885150,XL
29,2015-07,38.26,38.66,37.13,38.02,54619537,XL
30,2015-08,38.19,40.41,5.4,37.29,59766699,XL
31,2015-09,36.41,38.36,35.8,36.32,55045470,XL
32,2015-10,36.38,39.11,34.4415,38.08,54350013,XL
33,2015-11,38.18,38.575,36.71,38.18,32388339,XL
34,2015-12,38.42,40.48,37.36,39.18,45595734,XL
35,2016-01,38.67,38.7,34.12,36.26,52410459,XL
36,2016-02,36.02,36.53,33.06,34.38,47547073,XL
37,2016-03,34.61,37.22,34.58,36.8,43646665,XL
38,2016-04,36.78,37.23,32.01,32.73,47262279,XL
39,2016-05,32.89,34.99,31.92,34.35,70932119,XL
40,2016-06,34.19,34.38,30.33,33.31,57736959,XL
41,2016-07,33.26,35.5,31.97,34.61,44068648,XL
42,2016-08,34.73,34.82,33.09,34.23,48506332,XL
43,2016-09,34.25,35.43,33.23,33.63,44046437,XL
44,2016-10,33.59,34.83,32.81,34.7,46072078,XL
45,2016-11,34.78,38.64,34.19,36.13,47811573,XL
46,2016-12,36.31,38.25,35.7,37.26,42270001,XL
47,2017-01,37.46,38.1,36.5,37.57,29247818,XL
48,2017-02,37.34,41.37,37.34,40.49,33420511,XL
49,2017-03,41.23,41.39,39.24,39.86,33011970,XL
50,2017-04,39.88,43.52,39.12,41.85,30706239,XL
51,2017-05,42.06,43.71,41.37,43.69,28839962,XL
52,2017-06,43.75,44.58,41.75,43.8,38413518,XL
53,2017-07,44.09,47.27,42.31,44.4,26762544,XL
54,2017-08,44.49,45.01,40.77,40.96,32516803,XL
55,2017-09,41.05,42.93,36.02,39.45,70216575,XL
56,2017-10,39.22,42.99,38.72,40.47,70781912,XL
57,2017-11,40.6,40.78,37.95,38.82,52747721,XL
58,2017-12,38.96,39.04,34.92,35.16,39187728,XL
59,2018-01,35.21,37.79,33.77,36.84,52274417,XL
60,2018-02,36.73,42.39,36.58,42.0,48721646,XL
