,date,open,high,low,close,volume,Name
0,2013-02,42.66,43.51,40.74,41.42,10736809,XRAY
1,2013-03,41.27,43.63,40.86,42.44,13179450,XRAY
2,2013-04,42.38,42.62,40.4001,42.35,13358797,XRAY
3,2013-05,42.23,44.21,40.5,41.76,21749760,XRAY
4,2013-06,41.88,42.44,39.9,40.96,16496571,XRAY
5,2013-07,41.32,43.01,40.8129,42.88,15402977,XRAY
6,2013-08,42.4,43.1,41.31,41.99,15526458,XRAY
7,2013-09,42.42,45.37,41.855,43.415,16450808,XRAY
8,2013-10,43.51,47.23,42.99,47.105,19545223,XRAY
9,2013-11,47.3,48.97,46.81,47.56,12597241,XRAY
10,2013-12,47.56,50.99,46.83,48.48,21094598,XRAY
11,2014-01,47.94,49.125,42.99,46.14,21773488,XRAY
12,2014-02,46.2,46.67,43.0,45.38,23703470,XRAY
13,2014-03,45.29,47.03,44.76,46.04,17290820,XRAY
14,2014-04,46.22,47.87,43.85,44.63,20459273,XRAY
15,2014-05,44.73,47.49,44.46,47.29,19268605,XRAY
16,2014-06,47.39,48.38,47.07,47.35,15000280,XRAY
17,2014-07,47.54,47.94,46.08,46.42,13401845,XRAY
18,2014-08,46.25,48.54,45.72,47.705,11715095,XRAY
19,2014-09,47.91,48.17,45.1164,45.6,11799258,XRAY
20,2014-10,45.6,50.94,43.83,50.77,23720041,XRAY
21,2014-11,50.61,55.37,50.41,54.98,14911564,XRAY
22,2014-12,53.62,56.25,52.37,53.27,17013986,XRAY
23,2015-01,52.13,53.81,49.65,50.025,21105158,XRAY
24,2015-02,50.2,53.85,49.42,53.01,20460434,XRAY
25,2015-03,52.98,53.576,50.02,50.89,19619226,XRAY
26,2015-04,50.81,52.71,49.81,51.0,13181344,XRAY
27,2015-05,51.17,52.96,49.89,52.035,16724783,XRAY
28,2015-06,52.29,53.72,51.24,51.55,14510957,XRAY
29,2015-07,51.92,57.14,50.7,56.91,15621666,XRAY
30,2015-08,56.7,57.6123,50.11,52.41,17919902,XRAY
31,2015-09,51.24,54.72,50.09,50.57,27528016,XRAY
32,2015-10,50.75,61.87,49.48,60.85,36162723,XRAY
33,2015-11,61.11,62.48,59.23,60.66,16811066,XRAY
34,2015-12,60.94,63.45,59.07,60.85,19486822,XRAY
35,2016-01,59.21,60.29,55.0,58.89,26735541,XRAY
36,2016-02,58.45,61.8,53.43,60.96,51558192,XRAY
37,2016-03,61.1,63.68,58.44,61.63,59115376,XRAY
38,2016-04,61.41,62.13,59.08,59.6,23580580,XRAY
39,2016-05,59.78,63.04,59.26,62.16,33479727,XRAY
40,2016-06,62.16,65.83,58.8375,62.04,43157724,XRAY
41,2016-07,62.15,64.4,61.45,64.04,22019150,XRAY
42,2016-08,64.0,65.16,59.47,61.46,32245678,XRAY
43,2016-09,61.64,62.98,58.57,59.43,27723119,XRAY
44,2016-10,59.07,60.27,55.39,57.57,30039657,XRAY
45,2016-11,58.63,62.92,55.01,58.18,39669214,XRAY
46,2016-12,58.4,60.64,56.71,57.73,26454863,XRAY
47,2017-01,58.02,59.36,55.0,56.7,38051828,XRAY
48,2017-02,56.7,63.9,56.21,63.52,34454846,XRAY
49,2017-03,63.78,64.8,61.85,62.44,29654749,XRAY
50,2017-04,62.47,63.85,61.53,63.24,21283969,XRAY
51,2017-05,63.45,65.68,61.02,63.52,30142338,XRAY
52,2017-06,63.74,65.5,62.35,64.84,23524064,XRAY
53,2017-07,65.14,65.44,61.87,62.03,26914346,XRAY
54,2017-08,62.11,62.39,52.535,56.57,49994390,XRAY
55,2017-09,56.67,60.63,55.89,59.81,32946737,XRAY
56,2017-10,58.0,62.23,54.91,61.07,52083996,XRAY
57,2017-11,61.37,68.98,60.79,67.01,42412050,XRAY
58,2017-12,67.0,67.35,64.65,65.83,25707876,XRAY
59,2018-01,66.0,68.47,59.6,60.81,57730043,XRAY
60,2018-02,60.55,60.94,54.28,58.3,9122084,XRAY
