,date,open,high,low,close,volume,Name
0,2013-02,32.08,32.92,31.0,32.44,31593815,XRX
1,2013-03,32.28,35.08,32.04,34.4,40992502,XRX
2,2013-04,34.48,37.52,32.44,34.32,59327749,XRX
3,2013-05,34.16,36.48,33.04,35.16,44573869,XRX
4,2013-06,35.2,38.48,34.6404,36.28,43437957,XRX
5,2013-07,36.4,40.0,36.26,38.8,50218037,XRX
6,2013-08,39.12,42.2,38.52,39.92,61180478,XRX
7,2013-09,40.48,42.28,39.8,41.16,66198209,XRX
8,2013-10,41.12,44.6,38.2,39.76,66043184,XRX
9,2013-11,40.04,45.92,39.32,45.52,56077580,XRX
10,2013-12,45.48,49.12,43.96,48.68,43511210,XRX
11,2014-01,48.36,50.6,42.24,43.4,82181753,XRX
12,2014-02,43.52,44.36,41.04,43.96,68700281,XRX
13,2014-03,43.68,45.6,42.0,45.2,54952707,XRX
14,2014-04,45.4,49.08,44.04,48.36,60119649,XRX
15,2014-05,48.4,49.48,46.8,49.4,40278308,XRX
16,2014-06,49.48,52.04,48.88,49.76,37841223,XRX
17,2014-07,48.92,53.52,48.36,53.04,52879404,XRX
18,2014-08,52.72,55.52,51.44,55.24,35098727,XRX
19,2014-09,55.44,56.6,52.36,52.92,42603115,XRX
20,2014-10,52.96,54.56,48.56,53.12,56989328,XRX
21,2014-11,53.08,56.12,52.24,55.84,28290241,XRX
22,2014-12,55.6,57.44,52.68,55.44,34588738,XRX
23,2015-01,55.52,56.6,51.76,52.68,34058249,XRX
24,2015-02,52.68,56.08,52.0,54.6,34182956,XRX
25,2015-03,54.6,54.88,50.12,51.4,43686410,XRX
26,2015-04,51.4,53.32,45.12,46.0,55285650,XRX
27,2015-05,46.2,47.43600000000001,44.48,45.68,52528952,XRX
28,2015-06,45.76,46.46,42.56,42.56,43281542,XRX
29,2015-07,42.84,44.8,40.96,44.08,76829929,XRX
30,2015-08,44.16,45.84,38.48,40.68,67630016,XRX
31,2015-09,39.68,43.12,37.84,38.92,62169725,XRX
32,2015-10,38.84,42.56,36.68,37.56,80819149,XRX
33,2015-11,37.72,44.08,37.56,42.2,62462642,XRX
34,2015-12,42.32,43.72,38.8,42.52,51713419,XRX
35,2016-01,41.64,41.72,33.92,39.0,45991835,XRX
36,2016-02,38.7,39.0,34.12,38.44,49423704,XRX
37,2016-03,38.76,45.24,38.76,44.64,34132526,XRX
38,2016-04,44.2,45.56,38.04,38.4,45287391,XRX
39,2016-05,38.4,39.88,36.0,39.88,35074167,XRX
40,2016-06,39.68,41.32,35.72,37.96,29069934,XRX
41,2016-07,37.84,41.28,36.12,41.2,28020591,XRX
42,2016-08,41.32,41.3808,38.36,39.4,31170128,XRX
43,2016-09,39.52,41.24,37.82,40.52,44965444,XRX
44,2016-10,40.72,40.72,37.88,39.08,31942676,XRX
45,2016-11,39.12,39.12,36.36,37.4,43651879,XRX
46,2016-12,37.56,39.08,34.76,34.92,72148999,XRX
47,2017-01,26.12,28.92,25.84,27.72,90544618,XRX
48,2017-02,28.12,30.76,27.68,29.76,47232297,XRX
49,2017-03,29.92,30.48,28.36,29.36,58204699,XRX
50,2017-04,29.44,29.56,26.64,28.76,40035212,XRX
51,2017-05,28.76,28.84,27.4,28.28,35247634,XRX
52,2017-06,28.28,29.46,27.18,28.73,59046942,XRX
53,2017-07,28.78,31.16,28.05,30.67,60281734,XRX
54,2017-08,32.29,32.99,31.08,32.27,44883614,XRX
55,2017-09,32.34,34.13,31.54,33.29,31424574,XRX
56,2017-10,33.26,33.7,29.38,30.31,44831161,XRX
57,2017-11,30.34,30.52,27.55,29.66,44616027,XRX
58,2017-12,29.62,30.44,29.11,29.15,42381207,XRX
59,2018-01,29.38,37.42,29.02,34.13,57303406,XRX
60,2018-02,34.1,34.33,30.22,31.18,23200272,XRX
