,date,open,high,low,close,volume,Name
0,2013-02,27.01,28.85,26.795,27.5,12907781,XYL
1,2013-03,27.32,29.4875,26.94,27.56,21456154,XYL
2,2013-04,27.56,28.86,26.38,27.75,22215757,XYL
3,2013-05,27.61,29.19,27.12,28.14,22618058,XYL
4,2013-06,28.22,28.47,25.56,26.94,18984603,XYL
5,2013-07,27.12,29.79,23.61,24.93,32946894,XYL
6,2013-08,25.18,25.48,24.14,24.78,38778266,XYL
7,2013-09,25.03,28.4,24.955,27.93,38452966,XYL
8,2013-10,27.96,34.66,26.985,34.5,38019743,XYL
9,2013-11,34.53,34.93,32.98,34.56,26021673,XYL
10,2013-12,34.68,34.88,32.79,34.6,21528518,XYL
11,2014-01,34.39,37.05,32.62,33.36,25901055,XYL
12,2014-02,33.36,39.79,32.63,39.35,26632234,XYL
13,2014-03,39.14,39.24,35.34,36.42,24440395,XYL
14,2014-04,36.47,37.93,34.5,37.59,25314896,XYL
15,2014-05,37.53,38.91,36.33,37.3,20804438,XYL
16,2014-06,37.39,40.0,36.83,39.08,23166647,XYL
17,2014-07,39.33,39.43,35.26,35.29,21178319,XYL
18,2014-08,35.05,38.13,34.77,37.26,15372528,XYL
19,2014-09,37.5,38.34,35.38,35.49,15051617,XYL
20,2014-10,35.45,36.74,31.8,36.36,27661471,XYL
21,2014-11,36.34,38.69,35.79,38.34,15070790,XYL
22,2014-12,38.11,39.23,35.69,38.07,14369296,XYL
23,2015-01,38.4,38.59,33.54,34.1,20139048,XYL
24,2015-02,34.25,36.275,33.81,35.7,21397519,XYL
25,2015-03,35.66,36.38,34.19,35.02,21763983,XYL
26,2015-04,35.48,37.48,34.8,37.02,21443444,XYL
27,2015-05,37.29,37.48,36.16,36.57,17799953,XYL
28,2015-06,36.73,37.7,36.0,37.07,21105244,XYL
29,2015-07,37.32,37.32,34.2501,34.53,21737474,XYL
30,2015-08,34.5,34.5,29.9,32.45,28694645,XYL
31,2015-09,31.76,33.56,30.98,32.85,33167176,XYL
32,2015-10,32.88,36.78,32.16,36.41,36356391,XYL
33,2015-11,36.35,38.0,35.68,37.32,22599901,XYL
34,2015-12,37.37,37.76,35.81,36.5,20651057,XYL
35,2016-01,35.92,36.61,31.67,35.95,26069865,XYL
36,2016-02,35.64,38.08,34.57,37.41,39358149,XYL
37,2016-03,37.71,41.205,37.45,40.9,31646063,XYL
38,2016-04,40.64,43.04,40.47,41.78,26907626,XYL
39,2016-05,41.85,45.0,40.95,44.66,26824309,XYL
40,2016-06,44.32,46.6699,42.52,44.65,28426080,XYL
41,2016-07,44.66,48.055,44.44,47.81,19494936,XYL
42,2016-08,47.92,51.79,45.73,50.86,23630709,XYL
43,2016-09,50.77,52.71,47.9984,52.45,23632521,XYL
44,2016-10,52.11,53.25,47.691,48.33,25544024,XYL
45,2016-11,46.83,54.99,45.6,51.58,35645667,XYL
46,2016-12,51.9,52.4,49.36,49.52,23671754,XYL
47,2017-01,49.95,50.6599,47.92,49.31,31876423,XYL
48,2017-02,49.05,50.16,46.67,48.12,35445236,XYL
49,2017-03,48.7,50.5,47.37,50.22,31957555,XYL
50,2017-04,50.22,52.03,48.81,51.41,26996042,XYL
51,2017-05,51.46,52.97,49.71,52.14,27508315,XYL
52,2017-06,52.44,55.68,52.16,55.43,28039366,XYL
53,2017-07,55.77,58.225,54.08,56.73,25381977,XYL
54,2017-08,59.87,62.15,58.58,62.07,18618957,XYL
55,2017-09,62.18,64.8,61.54,62.63,17749078,XYL
56,2017-10,62.82,67.64,62.24,66.53,21782227,XYL
57,2017-11,67.02,69.69,65.41,69.34,13434700,XYL
58,2017-12,69.38,69.88,66.65,68.2,15867461,XYL
59,2018-01,68.21,75.16,67.5,72.26,18067953,XYL
60,2018-02,72.5,76.81,69.69,71.79,10247764,XYL
