,date,open,high,low,close,volume,Name
0,2013-02,63.7,66.48,63.445,65.48,58921512,YUM
1,2013-03,64.89,72.21,64.35,71.94,69625331,YUM
2,2013-04,71.93,72.32,63.16,68.12,110487228,YUM
3,2013-05,67.79,70.9299,67.25,67.75,57144213,YUM
4,2013-06,67.79,73.89,67.06,69.34,62073802,YUM
5,2013-07,69.6001,74.02,69.26,72.92,59866838,YUM
6,2013-08,73.5,75.13,69.57,70.02,48609194,YUM
7,2013-09,70.74,73.76,68.78,71.39,45773966,YUM
8,2013-10,71.58,72.0815,64.08,67.62,107411432,YUM
9,2013-11,67.61,78.68,67.512,77.68,71432442,YUM
10,2013-12,77.56,78.57,71.25,75.61,52872578,YUM
11,2014-01,75.38,77.33,65.83,67.15,79771174,YUM
12,2014-02,67.36,74.34,65.84,74.08,69102456,YUM
13,2014-03,73.34,77.95,72.23,75.39,58583272,YUM
14,2014-04,75.51,79.7,74.27,76.99,69659382,YUM
15,2014-05,76.92,77.4,74.07,77.31,46266426,YUM
16,2014-06,76.96,82.13,76.96,81.2,40683125,YUM
17,2014-07,81.62,83.58,68.09,69.4,99934435,YUM
18,2014-08,70.55,73.47,69.38,72.43,68582008,YUM
19,2014-09,72.0,73.35,69.63,71.98,53121990,YUM
20,2014-10,71.93,72.83,65.81,71.83,76141163,YUM
21,2014-11,71.72,77.57,71.18,77.25,50438386,YUM
22,2014-12,75.61,78.57,69.0,72.85,84269625,YUM
23,2015-01,73.44,74.94,69.38,72.28,64040180,YUM
24,2015-02,72.44,82.47,70.5,81.11,70902595,YUM
25,2015-03,81.0,82.8286,76.4,78.72,78239044,YUM
26,2015-04,78.65,87.42,77.915,85.96,84650245,YUM
27,2015-05,86.5,95.9,86.46,90.11,94528389,YUM
28,2015-06,89.86,93.33,89.26,90.08,49902849,YUM
29,2015-07,91.11,92.42,85.175,87.76,83961654,YUM
30,2015-08,88.04,89.67,71.39,79.77,111944960,YUM
31,2015-09,77.6,83.9,75.24,79.95,70177875,YUM
32,2015-10,80.01,83.535,66.35,70.91,167184642,YUM
33,2015-11,71.36,73.34,66.69,72.51,71007141,YUM
34,2015-12,73.2,76.64,70.48,73.05,83836524,YUM
35,2016-01,71.32,73.2,66.48,72.37,87341465,YUM
36,2016-02,71.92,73.87,64.58,72.47,108780090,YUM
37,2016-03,72.89,82.62,72.8,81.85,70825297,YUM
38,2016-04,80.88,85.79,79.05,79.56,66732092,YUM
39,2016-05,80.18,83.42,78.33,82.09,54535241,YUM
40,2016-06,81.6,85.92,79.14,82.92,62921184,YUM
41,2016-07,82.95,90.6,82.62,89.42,72436836,YUM
42,2016-08,89.21,91.15,87.68,90.71,48563936,YUM
43,2016-09,90.58,91.99,86.26,90.81,66507079,YUM
44,2016-10,90.81,91.9,85.08,86.28,93497420,YUM
45,2016-11,62.21,63.875,59.57,63.39,100270125,YUM
46,2016-12,63.44,65.3156,62.321000000000005,63.33,44266459,YUM
47,2017-01,63.56,66.205,62.36,65.53,47337794,YUM
48,2017-02,65.48,68.98,64.69,65.32,49324874,YUM
49,2017-03,65.9,65.95,62.85,63.9,65568826,YUM
50,2017-04,63.74,66.69,63.18,65.75,49835359,YUM
51,2017-05,65.72,72.75,65.59,72.64,57151996,YUM
52,2017-06,72.64,75.4499,70.9,73.76,44766659,YUM
53,2017-07,73.6,75.68,72.38,75.48,37854252,YUM
54,2017-08,75.82,77.125,73.77,76.82,39824188,YUM
55,2017-09,76.99,78.14,72.61,73.61,41666367,YUM
56,2017-10,73.37,77.03,73.37,74.45,37828779,YUM
57,2017-11,74.54,84.06,74.26,83.47,40017804,YUM
58,2017-12,83.46,84.29,81.59,81.61,32807381,YUM
59,2018-01,82.15,86.93,81.1343,84.59,34033072,YUM
60,2018-02,84.24,84.59,76.35,80.13,14328123,YUM
