,date,open,high,low,close,volume,Name
0,2013-02,75.02,76.75,72.54,74.96,13609348,ZBH
1,2013-03,74.57,76.42,72.24,75.22,20379279,ZBH
2,2013-04,75.03,77.53,72.31,76.45,24397082,ZBH
3,2013-05,76.05,81.92,75.1212,78.51,20582675,ZBH
4,2013-06,78.77,80.55,74.55,74.94,21163720,ZBH
5,2013-07,75.17,85.08,74.85,83.48,22224292,ZBH
6,2013-08,83.9,84.755,78.0,79.09,16812734,ZBH
7,2013-09,80.04,84.35,78.3,82.14,20446164,ZBH
8,2013-10,82.29,89.93,80.55,87.47,31623582,ZBH
9,2013-11,87.87,91.59,87.3,91.41,23007811,ZBH
10,2013-12,91.24,93.7,89.58,93.19,19453575,ZBH
11,2014-01,92.63,97.86,91.97,93.97,25174306,ZBH
12,2014-02,94.0,96.85,90.77,93.84,21809785,ZBH
13,2014-03,92.96,98.95,91.42,94.58,24608238,ZBH
14,2014-04,94.31,108.33,90.48,96.8,43608264,ZBH
15,2014-05,97.0,104.38,96.34,104.35,35492423,ZBH
16,2014-06,104.31,107.66,103.4,103.86,23921225,ZBH
17,2014-07,103.76,105.47,98.4,100.07,24332700,ZBH
18,2014-08,99.61,101.21,94.73,99.31,24249458,ZBH
19,2014-09,99.72,105.68,98.81,100.55,25796791,ZBH
20,2014-10,100.63,111.29,95.33,111.24,28560381,ZBH
21,2014-11,111.18,113.0,107.81,112.29,15525041,ZBH
22,2014-12,112.19,116.14,108.77,113.42,18591033,ZBH
23,2015-01,114.21,120.7,111.2,112.1,27891937,ZBH
24,2015-02,112.48,121.84,111.06,120.39,19443001,ZBH
25,2015-03,120.69,121.54,114.51,117.52,26877551,ZBH
26,2015-04,118.22,119.1,108.54,109.84,21105570,ZBH
27,2015-05,110.17,114.906,109.23,114.09,25082256,ZBH
28,2015-06,114.58,115.5,97.48,109.23,27270876,ZBH
29,2015-07,110.0,111.35,103.69,104.07,25681036,ZBH
30,2015-08,104.47,110.81,94.73,103.56,30813233,ZBH
31,2015-09,102.75,104.0,90.92,93.93,31848760,ZBH
32,2015-10,93.82,105.85,88.77,104.57,30361511,ZBH
33,2015-11,104.78,108.99,100.52,101.01,21162503,ZBH
34,2015-12,102.01,103.52,98.08,102.59,22954346,ZBH
35,2016-01,101.12,105.29,94.85,99.26,32935624,ZBH
36,2016-02,98.28,99.76,88.27,96.81,29887215,ZBH
37,2016-03,97.0,107.215,95.44,106.63,27170418,ZBH
38,2016-04,106.31,117.77,105.53,115.77,31723525,ZBH
39,2016-05,115.77,123.43,113.74,122.11,26812977,ZBH
40,2016-06,122.22,122.91,114.11,120.38,48170540,ZBH
41,2016-07,120.63,131.33,119.22,131.14,26467948,ZBH
42,2016-08,130.87,133.19,126.82,129.61,30046368,ZBH
43,2016-09,129.5,131.18,122.87,130.02,22683899,ZBH
44,2016-10,129.5,133.21,103.93,105.4,33103314,ZBH
45,2016-11,106.55,107.0,95.63,101.86,55800790,ZBH
46,2016-12,101.79,106.979,99.11,103.2,31329718,ZBH
47,2017-01,103.87,120.41,102.59,118.33,33208201,ZBH
48,2017-02,118.81,119.25,115.33,117.08,22596548,ZBH
49,2017-03,117.56,123.15,116.21,122.11,24505180,ZBH
50,2017-04,121.98,125.42,115.0,119.65,21906097,ZBH
51,2017-05,119.69,123.12,115.75,119.21,32672536,ZBH
52,2017-06,119.68,130.2,119.31,128.4,25229521,ZBH
53,2017-07,129.01,133.49,121.07,121.32,35548672,ZBH
54,2017-08,117.27,120.34,110.09,114.27,31607545,ZBH
55,2017-09,114.47,117.49,112.655,117.09,24517739,ZBH
56,2017-10,117.32,124.75,115.865,121.62,24911975,ZBH
57,2017-11,111.91,117.72,108.17,117.1,35047286,ZBH
58,2017-12,117.34,124.17,112.65,120.67,29162679,ZBH
59,2018-01,121.0,129.338,120.555,127.12,31636006,ZBH
60,2018-02,126.35,128.72,119.5,120.78,8559060,ZBH
