,date,open,high,low,close,volume,Name
0,2013-02,24.03,24.92,23.24,24.15,31376128,ZION
1,2013-03,24.04,25.86,23.69,24.99,36556761,ZION
2,2013-04,25.07,25.17,23.1,24.62,46273215,ZION
3,2013-05,24.59,28.74,24.07,28.07,40389615,ZION
4,2013-06,28.17,29.41,26.385,28.92,45210044,ZION
5,2013-07,29.09,31.4001,29.0025,29.64,51347396,ZION
6,2013-08,29.91,30.395,27.76,27.97,35963204,ZION
7,2013-09,28.66,29.5,26.79,27.42,37580353,ZION
8,2013-10,27.44,30.07,26.89,28.395,56377106,ZION
9,2013-11,28.46,29.88,27.61,29.33,33458852,ZION
10,2013-12,29.34,30.13,27.915,29.96,43300271,ZION
11,2014-01,29.9,32.29,28.72,28.75,47720901,ZION
12,2014-02,28.59,31.41,27.82,31.2,41183117,ZION
13,2014-03,30.89,33.325,29.38,30.98,69435883,ZION
14,2014-04,31.08,31.87,28.36,28.92,54313129,ZION
15,2014-05,28.87,29.66,27.65,28.59,40636104,ZION
16,2014-06,28.61,30.39,28.27,29.47,35368762,ZION
17,2014-07,29.5,30.89,28.4,28.82,66797990,ZION
18,2014-08,28.7,29.47,27.44,29.14,51218377,ZION
19,2014-09,29.27,30.455,28.41,29.06,55699029,ZION
20,2014-10,29.03,29.08,25.02,28.97,66661930,ZION
21,2014-11,29.0,29.93,27.96,28.06,32646473,ZION
22,2014-12,27.91,29.0,26.49,28.51,61788234,ZION
23,2015-01,28.67,28.72,23.72,23.96,65302649,ZION
24,2015-02,24.12,26.95,23.9,26.735,42585531,ZION
25,2015-03,26.67,28.12,26.14,27.0,61634454,ZION
26,2015-04,27.01,28.65,26.2,28.335,39533557,ZION
27,2015-05,28.52,29.52,28.2,28.88,34358447,ZION
28,2015-06,29.04,33.03,28.3,31.735,76502950,ZION
29,2015-07,32.03,32.42,29.65,31.19,75869015,ZION
30,2015-08,31.25,31.64,26.42,29.0,62935628,ZION
31,2015-09,28.23,29.42,27.11,27.54,56969329,ZION
32,2015-10,27.62,29.74,26.22,28.77,50830684,ZION
33,2015-11,28.93,31.18,28.775,29.96,42241636,ZION
34,2015-12,30.11,30.55,26.425,27.3,73997969,ZION
35,2016-01,26.56,26.91,20.33,22.68,91558352,ZION
36,2016-02,22.55,22.65,19.65,21.32,81484468,ZION
37,2016-03,21.46,25.6,21.4,24.21,72013277,ZION
38,2016-04,24.0,27.87,23.14,27.52,61406617,ZION
39,2016-05,27.71,28.48,25.53,28.02,58293083,ZION
40,2016-06,27.77,29.46,23.34,25.13,83849065,ZION
41,2016-07,24.93,28.38,23.02,27.88,76203605,ZION
42,2016-08,27.9,30.615,26.74,30.59,56295640,ZION
43,2016-09,30.75,31.35,29.63,31.02,66892686,ZION
44,2016-10,30.8,32.715,30.07,32.21,61446099,ZION
45,2016-11,32.36,40.0,30.85,39.79,80210311,ZION
46,2016-12,39.82,44.15,39.67,43.04,58048245,ZION
47,2017-01,43.74,44.33,41.36,42.19,49800630,ZION
48,2017-02,42.69,45.52,41.58,44.9,42910178,ZION
49,2017-03,48.33,48.33,39.09,42.0,62565434,ZION
50,2017-04,42.0,42.415,39.22,40.03,56644061,ZION
51,2017-05,40.25,41.585,38.43,40.07,74337057,ZION
52,2017-06,40.48,44.85,39.62,43.91,60046009,ZION
53,2017-07,44.24,46.29,43.36,45.32,50476816,ZION
54,2017-08,45.51,46.46,43.26,43.66,43168971,ZION
55,2017-09,43.69,47.7,41.225,47.18,49992941,ZION
56,2017-10,46.65,48.26,45.06,46.46,43182025,ZION
57,2017-11,46.71,50.5101,43.5,49.55,47125046,ZION
58,2017-12,49.52,52.2,48.28,50.83,43203160,ZION
59,2018-01,52.17,55.02,50.16,54.03,43353770,ZION
60,2018-02,53.79,55.61,49.761,54.02,21490723,ZION
