,date,open,high,low,close,volume,Name
0,2013-02,32.31,34.09,31.86,33.45,28810965,ZTS
1,2013-03,33.36,35.42,32.0,33.4,37344652,ZTS
2,2013-04,33.42,34.74,30.42,33.02,42042646,ZTS
3,2013-05,32.97,34.28,31.75,32.0,72710376,ZTS
4,2013-06,32.01,32.99,29.4,30.89,291268503,ZTS
5,2013-07,31.02,31.65,28.97,29.81,157311042,ZTS
6,2013-08,29.97,32.5,28.81,29.15,112796219,ZTS
7,2013-09,29.46,32.9,29.19,31.12,83626292,ZTS
8,2013-10,31.12,33.34,31.01,31.66,80108919,ZTS
9,2013-11,31.77,32.18,30.86,31.15,77706854,ZTS
10,2013-12,31.31,32.84,30.76,32.69,65707026,ZTS
11,2014-01,32.53,32.73,30.07,30.36,76691523,ZTS
12,2014-02,30.4,31.53,28.77,31.02,125113647,ZTS
13,2014-03,30.88,31.3,28.66,28.94,98623932,ZTS
14,2014-04,28.97,30.67,28.135,30.26,84527990,ZTS
15,2014-05,30.31,31.39,29.56,30.7,73478255,ZTS
16,2014-06,30.8,33.05,30.65,32.27,66733352,ZTS
17,2014-07,32.46,33.25,32.02,32.91,47066796,ZTS
18,2014-08,32.77,35.48,31.67,35.44,66868329,ZTS
19,2014-09,35.44,37.31,35.32,36.95,59730092,ZTS
20,2014-10,36.87,37.97,34.1612,37.16,87029752,ZTS
21,2014-11,37.08,45.09,37.024,44.93,145247513,ZTS
22,2014-12,45.2,45.24,40.83,43.03,84188665,ZTS
23,2015-01,43.46,44.87,42.29,42.73,57987451,ZTS
24,2015-02,43.03,47.4,42.37,46.09,82008791,ZTS
25,2015-03,46.55,47.92,45.48,46.29,67843141,ZTS
26,2015-04,46.3,47.99,44.31,44.42,60058697,ZTS
27,2015-05,44.73,49.96,44.39,49.77,74675674,ZTS
28,2015-06,49.92,55.38,47.04,48.22,78849026,ZTS
29,2015-07,48.75,50.39,46.28,48.98,72198274,ZTS
30,2015-08,49.16,50.25,37.73,44.87,71439740,ZTS
31,2015-09,43.95,46.629,38.98,41.18,83205689,ZTS
32,2015-10,41.07,44.14,39.53,43.01,93822113,ZTS
33,2015-11,43.54,47.568999999999996,43.165,46.7,72599470,ZTS
34,2015-12,46.81,48.645,44.94,47.92,55328253,ZTS
35,2016-01,46.94,48.35,42.41,43.05,84613787,ZTS
36,2016-02,43.0,43.39,38.26,41.06,94750599,ZTS
37,2016-03,41.49,44.545,39.35,44.33,108775794,ZTS
38,2016-04,44.02,49.1,43.9711,47.03,79622223,ZTS
39,2016-05,47.2,48.37,45.56,47.42,89363462,ZTS
40,2016-06,47.49,48.68,45.28,47.46,68563055,ZTS
41,2016-07,47.5,50.58,46.835,50.47,49970579,ZTS
42,2016-08,50.47,52.64,49.29,51.1,81313355,ZTS
43,2016-09,51.15,52.17,50.07,52.01,74985018,ZTS
44,2016-10,51.76,53.14,47.76,47.8,64563492,ZTS
45,2016-11,47.61,52.19,46.86,50.38,91536475,ZTS
46,2016-12,50.41,54.15,48.545,53.53,59818634,ZTS
47,2017-01,53.88,54.97,52.71,54.94,57395445,ZTS
48,2017-02,54.93,56.5035,52.0,53.31,89417131,ZTS
49,2017-03,53.73,54.82,52.64,53.37,64827748,ZTS
50,2017-04,53.35,56.65,52.25,56.11,53360426,ZTS
51,2017-05,56.14,63.11,55.48,62.28,76422306,ZTS
52,2017-06,62.45,63.845,60.92,62.38,56338810,ZTS
53,2017-07,62.4,63.53,60.8,62.52,43937275,ZTS
54,2017-08,62.37,62.85,59.5,62.7,52782837,ZTS
55,2017-09,62.75,65.83,62.43,63.76,40963713,ZTS
56,2017-10,63.84,66.345,63.03,63.82,48197677,ZTS
57,2017-11,64.2,72.71,64.02,72.29,57779250,ZTS
58,2017-12,72.22,73.58,70.48,72.04,34818134,ZTS
59,2018-01,72.54,80.13,71.34,76.73,58619414,ZTS
60,2018-02,76.84,78.27,72.13,73.86,17998712,ZTS
